Date,Stock Price,Market Cap (Billion USD),Company,Sector,Industry,PE_Ratio,PB_Ratio,Profit_Margin,ROE,ROA,Debt_to_Equity,Company_Age_Years,Market_Cap_Category
2002-07-01 00:00:00+05:30,-0.00933870580047369,-0.010778547161952139,Adani Enterprises,Energy,Thermal Coal,76.91511,6.8870063,0.03701,,,168.936,,Mega Cap
2002-08-01 00:00:00+05:30,-0.009115518070757389,-0.010520948355210185,Adani Enterprises,Energy,Thermal Coal,76.91511,6.8870063,0.03701,,,168.936,,Mega Cap
2002-09-01 00:00:00+05:30,-0.008287367410957813,-0.009565113453183532,Adani Enterprises,Energy,Thermal Coal,76.91511,6.8870063,0.03701,,,168.936,,Mega Cap
2002-10-01 00:00:00+05:30,0.032102860510349274,0.03705247851654339,Adani Enterprises,Energy,Thermal Coal,76.91511,6.8870063,0.03701,,,168.936,,Mega Cap
2002-11-01 00:00:00+05:30,0.03627384826540947,0.04186654903020716,Adani Enterprises,Energy,Thermal Coal,76.91511,6.8870063,0.03701,,,168.936,,Mega Cap
2002-12-01 00:00:00+05:30,0.03376656770706177,0.03897269603560639,Adani Enterprises,Energy,Thermal Coal,76.91511,6.8870063,0.03701,,,168.936,,Mega Cap
2003-01-01 00:00:00+05:30,0.03109525330364704,0.03588951846295524,Adani Enterprises,Energy,Thermal Coal,76.91511,6.8870063,0.03701,,,168.936,,Mega Cap
2003-02-01 00:00:00+05:30,0.03046254813671112,0.0351592628336277,Adani Enterprises,Energy,Thermal Coal,76.91511,6.8870063,0.03701,,,168.936,,Mega Cap
2003-03-01 00:00:00+05:30,0.028775382786989212,0.03321197038427496,Adani Enterprises,Energy,Thermal Coal,76.91511,6.8870063,0.03701,,,168.936,,Mega Cap
2003-04-01 00:00:00+05:30,0.028470762073993683,0.032860383259497646,Adani Enterprises,Energy,Thermal Coal,76.91511,6.8870063,0.03701,,,168.936,,Mega Cap
2003-05-01 00:00:00+05:30,0.03924983739852905,0.04530137607263947,Adani Enterprises,Energy,Thermal Coal,76.91511,6.8870063,0.03701,,,168.936,,Mega Cap
2003-06-01 00:00:00+05:30,0.045810993760824203,0.05287413131291628,Adani Enterprises,Energy,Thermal Coal,76.91511,6.8870063,0.03701,,,168.936,,Mega Cap
2003-07-01 00:00:00+05:30,0.0430225171148777,0.049655727426928996,Adani Enterprises,Energy,Thermal Coal,76.91511,6.8870063,0.03701,,,168.936,,Mega Cap
2003-08-01 00:00:00+05:30,0.04541264846920967,0.05241436915698767,Adani Enterprises,Energy,Thermal Coal,76.91511,6.8870063,0.03701,,,168.936,,Mega Cap
2003-09-01 00:00:00+05:30,0.04578757658600807,0.05284710367883635,Adani Enterprises,Energy,Thermal Coal,76.91511,6.8870063,0.03701,,,168.936,,Mega Cap
2003-10-01 00:00:00+05:30,0.5166308283805847,0.5962849529681168,Adani Enterprises,Energy,Thermal Coal,76.91511,6.8870063,0.03701,,,168.936,,Mega Cap
2003-11-01 00:00:00+05:30,0.5715181827545166,0.6596348378830261,Adani Enterprises,Energy,Thermal Coal,76.91511,6.8870063,0.03701,,,168.936,,Mega Cap
2003-12-01 00:00:00+05:30,1.0228705406188965,1.1805766878396606,Adani Enterprises,Energy,Thermal Coal,76.91511,6.8870063,0.03701,,,168.936,,Mega Cap
2004-01-01 00:00:00+05:30,0.9575923085212708,1.1052338600061264,Adani Enterprises,Energy,Thermal Coal,76.91511,6.8870063,0.03701,,,168.936,,Mega Cap
2004-02-01 00:00:00+05:30,1.00608491897583,1.161203059588806,Adani Enterprises,Energy,Thermal Coal,76.91511,6.8870063,0.03701,,,168.936,,Mega Cap
2004-03-01 00:00:00+05:30,1.075093388557434,1.2408512528022309,Adani Enterprises,Energy,Thermal Coal,76.91511,6.8870063,0.03701,,,168.936,,Mega Cap
2004-04-01 00:00:00+05:30,1.1358416080474854,1.3109656308293152,Adani Enterprises,Energy,Thermal Coal,76.91511,6.8870063,0.03701,,,168.936,,Mega Cap
2004-05-01 00:00:00+05:30,1.2698626518249512,1.4656500348477173,Adani Enterprises,Energy,Thermal Coal,76.91511,6.8870063,0.03701,,,168.936,,Mega Cap
2004-06-01 00:00:00+05:30,1.3188878297805786,1.5222339131717377,Adani Enterprises,Energy,Thermal Coal,76.91511,6.8870063,0.03701,,,168.936,,Mega Cap
2004-07-01 00:00:00+05:30,4.004147529602051,4.621506867583374,Adani Enterprises,Energy,Thermal Coal,76.91511,6.8870063,0.03701,,,168.936,,Mega Cap
2004-08-01 00:00:00+05:30,3.657083034515381,4.220931979750305,Adani Enterprises,Energy,Thermal Coal,76.91511,6.8870063,0.03701,,,168.936,,Mega Cap
2004-09-01 00:00:00+05:30,3.505063772201538,4.045474392437531,Adani Enterprises,Energy,Thermal Coal,76.91511,6.8870063,0.03701,,,168.936,,Mega Cap
2004-10-01 00:00:00+05:30,3.482117176055908,4.018989890832459,Adani Enterprises,Energy,Thermal Coal,76.91511,6.8870063,0.03701,,,168.936,,Mega Cap
2004-11-01 00:00:00+05:30,3.484985589981079,4.022300556724823,Adani Enterprises,Energy,Thermal Coal,76.91511,6.8870063,0.03701,,,168.936,,Mega Cap
2004-12-01 00:00:00+05:30,4.414313793182373,5.09491255255719,Adani Enterprises,Energy,Thermal Coal,76.91511,6.8870063,0.03701,,,168.936,,Mega Cap
2005-01-01 00:00:00+05:30,4.31965970993042,4.985664705778381,Adani Enterprises,Energy,Thermal Coal,76.91511,6.8870063,0.03701,,,168.936,,Mega Cap
2005-02-01 00:00:00+05:30,4.388500213623047,5.065119036127442,Adani Enterprises,Energy,Thermal Coal,76.91511,6.8870063,0.03701,,,168.936,,Mega Cap
2005-03-01 00:00:00+05:30,3.4304869174957275,3.9593992806596376,Adani Enterprises,Energy,Thermal Coal,76.91511,6.8870063,0.03701,,,168.936,,Mega Cap
2005-04-01 00:00:00+05:30,3.407540798187256,3.9329153294104615,Adani Enterprises,Energy,Thermal Coal,76.91511,6.8870063,0.03701,,,168.936,,Mega Cap
2005-05-01 00:00:00+05:30,3.6685564517974854,4.234174368141815,Adani Enterprises,Energy,Thermal Coal,76.91511,6.8870063,0.03701,,,168.936,,Mega Cap
2005-06-01 00:00:00+05:30,3.5853757858276367,4.1381689097545165,Adani Enterprises,Energy,Thermal Coal,76.91511,6.8870063,0.03701,,,168.936,,Mega Cap
2005-07-01 00:00:00+05:30,3.694370746612549,4.263968710105408,Adani Enterprises,Energy,Thermal Coal,76.91511,6.8870063,0.03701,,,168.936,,Mega Cap
2005-08-01 00:00:00+05:30,4.116011142730713,4.7506176090045775,Adani Enterprises,Energy,Thermal Coal,76.91511,6.8870063,0.03701,,,168.936,,Mega Cap
2005-09-01 00:00:00+05:30,3.7641472816467285,4.344503389078308,Adani Enterprises,Energy,Thermal Coal,76.91511,6.8870063,0.03701,,,168.936,,Mega Cap
2005-10-01 00:00:00+05:30,3.483328104019165,4.020387519630341,Adani Enterprises,Energy,Thermal Coal,76.91511,6.8870063,0.03701,,,168.936,,Mega Cap
2005-11-01 00:00:00+05:30,3.78804612159729,4.3720869514076846,Adani Enterprises,Energy,Thermal Coal,76.91511,6.8870063,0.03701,,,168.936,,Mega Cap
2005-12-01 00:00:00+05:30,3.5221657752990723,4.065213181825379,Adani Enterprises,Energy,Thermal Coal,76.91511,6.8870063,0.03701,,,168.936,,Mega Cap
2006-01-01 00:00:00+05:30,3.5849013328552246,4.1376213056380005,Adani Enterprises,Energy,Thermal Coal,76.91511,6.8870063,0.03701,,,168.936,,Mega Cap
2006-02-01 00:00:00+05:30,3.441504716873169,3.9721158039925233,Adani Enterprises,Energy,Thermal Coal,76.91511,6.8870063,0.03701,,,168.936,,Mega Cap
2006-03-01 00:00:00+05:30,3.575939893722534,4.127278192106598,Adani Enterprises,Energy,Thermal Coal,76.91511,6.8870063,0.03701,,,168.936,,Mega Cap
2006-04-01 00:00:00+05:30,3.626725673675537,4.18589412198761,Adani Enterprises,Energy,Thermal Coal,76.91511,6.8870063,0.03701,,,168.936,,Mega Cap
2006-05-01 00:00:00+05:30,10.802501678466797,12.468031041572754,Adani Enterprises,Energy,Thermal Coal,76.91511,6.8870063,0.03701,,,168.936,,Mega Cap
2006-06-01 00:00:00+05:30,7.764301776885986,8.96140157638861,Adani Enterprises,Energy,Thermal Coal,76.91511,6.8870063,0.03701,,,168.936,,Mega Cap
2006-07-01 00:00:00+05:30,6.874048709869385,7.933889319987488,Adani Enterprises,Energy,Thermal Coal,76.91511,6.8870063,0.03701,,,168.936,,Mega Cap
2006-08-01 00:00:00+05:30,7.368717193603516,8.504825774714355,Adani Enterprises,Energy,Thermal Coal,76.91511,6.8870063,0.03701,,,168.936,,Mega Cap
2006-09-01 00:00:00+05:30,8.27176284790039,9.547102979093262,Adani Enterprises,Energy,Thermal Coal,76.91511,6.8870063,0.03701,,,168.936,,Mega Cap
2006-10-01 00:00:00+05:30,8.305550575256348,9.586100097171753,Adani Enterprises,Energy,Thermal Coal,76.91511,6.8870063,0.03701,,,168.936,,Mega Cap
2006-11-01 00:00:00+05:30,13.140213012695312,15.166170634505859,Adani Enterprises,Energy,Thermal Coal,76.91511,6.8870063,0.03701,,,168.936,,Mega Cap
2006-12-01 00:00:00+05:30,14.018688201904297,16.18008910027588,Adani Enterprises,Energy,Thermal Coal,76.91511,6.8870063,0.03701,,,168.936,,Mega Cap
2007-01-01 00:00:00+05:30,14.15690803527832,16.339619663136475,Adani Enterprises,Energy,Thermal Coal,76.91511,6.8870063,0.03701,,,168.936,,Mega Cap
