Date,Stock Price,Market Cap (Billion USD),Company,Sector,Industry,PE_Ratio,PB_Ratio,Profit_Margin,ROE,ROA,Debt_to_Equity,Company_Age_Years,Market_Cap_Category
2007-11-01 00:00:00+05:30,169.0659942626953,365.2062222567305,Adani Ports & SEZ,Industrials,Marine Shipping,25.971392,4.595439,0.35029998,,,85.449,,Mega Cap
2007-12-01 00:00:00+05:30,230.90521240234375,498.7875929077656,Adani Ports & SEZ,Industrials,Marine Shipping,25.971392,4.595439,0.35029998,,,85.449,,Mega Cap
2008-01-01 00:00:00+05:30,152.4414825439453,329.29494898060545,Adani Ports & SEZ,Industrials,Marine Shipping,25.971392,4.595439,0.35029998,,,85.449,,Mega Cap
2008-02-01 00:00:00+05:30,133.87881469726562,289.19698706427346,Adani Ports & SEZ,Industrials,Marine Shipping,25.971392,4.595439,0.35029998,,,85.449,,Mega Cap
2008-03-01 00:00:00+05:30,105.32501983642578,227.51679171985742,Adani Ports & SEZ,Industrials,Marine Shipping,25.971392,4.595439,0.35029998,,,85.449,,Mega Cap
2008-04-01 00:00:00+05:30,138.3374481201172,298.8282596089883,Adani Ports & SEZ,Industrials,Marine Shipping,25.971392,4.595439,0.35029998,,,85.449,,Mega Cap
2008-05-01 00:00:00+05:30,143.8426055908203,310.720170643918,Adani Ports & SEZ,Industrials,Marine Shipping,25.971392,4.595439,0.35029998,,,85.449,,Mega Cap
2008-06-01 00:00:00+05:30,89.92892456054688,194.2590699779453,Adani Ports & SEZ,Industrials,Marine Shipping,25.971392,4.595439,0.35029998,,,85.449,,Mega Cap
2008-07-01 00:00:00+05:30,105.18852996826172,227.22195449167384,Adani Ports & SEZ,Industrials,Marine Shipping,25.971392,4.595439,0.35029998,,,85.449,,Mega Cap
2008-08-01 00:00:00+05:30,105.05204010009766,226.92711726349023,Adani Ports & SEZ,Industrials,Marine Shipping,25.971392,4.595439,0.35029998,,,85.449,,Mega Cap
2008-09-01 00:00:00+05:30,78.55473327636719,169.6892240533633,Adani Ports & SEZ,Industrials,Marine Shipping,25.971392,4.595439,0.35029998,,,85.449,,Mega Cap
