Date,Stock Price,Market Cap (Billion USD),Company,Sector,Industry,PE_Ratio,PB_Ratio,Profit_Margin,ROE,ROA,Debt_to_Equity,Company_Age_Years,Market_Cap_Category
2004-06-01 00:00:00+07:00,105.3127670288086,12982.32629883,Bank Central Asia,Financial Services,Banks - Regional,19.342466,4.41649,0.51928,0.23686,0.03769,,,Mega Cap
2004-07-01 00:00:00+07:00,105.3127670288086,12982.32629883,Bank Central Asia,Financial Services,Banks - Regional,19.342466,4.41649,0.51928,0.23686,0.03769,,,Mega Cap
2004-08-01 00:00:00+07:00,114.88665771484375,14162.538122544,Bank Central Asia,Financial Services,Banks - Regional,19.342466,4.41649,0.51928,0.23686,0.03769,,,Mega Cap
2004-09-01 00:00:00+07:00,127.6518783569336,15736.157963022,Bank Central Asia,Financial Services,Banks - Regional,19.342466,4.41649,0.51928,0.23686,0.03769,,,Mega Cap
2004-10-01 00:00:00+07:00,153.18222045898438,18883.3854174,Bank Central Asia,Financial Services,Banks - Regional,19.342466,4.41649,0.51928,0.23686,0.03769,,,Mega Cap
2004-11-01 00:00:00+07:00,175.52130126953125,21637.213319568,Bank Central Asia,Financial Services,Banks - Regional,19.342466,4.41649,0.51928,0.23686,0.03769,,,Mega Cap
2004-12-01 00:00:00+07:00,193.46475219726562,23849.174332872,Bank Central Asia,Financial Services,Banks - Regional,19.342466,4.41649,0.51928,0.23686,0.03769,,,Mega Cap
2005-01-01 00:00:00+07:00,186.9617919921875,23047.528400736,Bank Central Asia,Financial Services,Banks - Regional,19.342466,4.41649,0.51928,0.23686,0.03769,,,Mega Cap
2005-02-01 00:00:00+07:00,212.97384643554688,26254.138463448,Bank Central Asia,Financial Services,Banks - Regional,19.342466,4.41649,0.51928,0.23686,0.03769,,,Mega Cap
2005-03-01 00:00:00+07:00,221.10267639160156,27256.21186722,Bank Central Asia,Financial Services,Banks - Regional,19.342466,4.41649,0.51928,0.23686,0.03769,,,Mega Cap
2005-04-01 00:00:00+07:00,199.96783447265625,24650.835313104,Bank Central Asia,Financial Services,Banks - Regional,19.342466,4.41649,0.51928,0.23686,0.03769,,,Mega Cap
2005-05-01 00:00:00+07:00,225.9798583984375,27857.441613792,Bank Central Asia,Financial Services,Banks - Regional,19.342466,4.41649,0.51928,0.23686,0.03769,,,Mega Cap
2005-06-01 00:00:00+07:00,234.10865783691406,28859.51125554,Bank Central Asia,Financial Services,Banks - Regional,19.342466,4.41649,0.51928,0.23686,0.03769,,,Mega Cap
2005-07-01 00:00:00+07:00,237.3602294921875,29260.34550768,Bank Central Asia,Financial Services,Banks - Regional,19.342466,4.41649,0.51928,0.23686,0.03769,,,Mega Cap
2005-08-01 00:00:00+07:00,227.86331176757812,28089.622449,Bank Central Asia,Financial Services,Banks - Regional,19.342466,4.41649,0.51928,0.23686,0.03769,,,Mega Cap
2005-09-01 00:00:00+07:00,229.5265350341797,28294.654638012,Bank Central Asia,Financial Services,Banks - Regional,19.342466,4.41649,0.51928,0.23686,0.03769,,,Mega Cap
2005-10-01 00:00:00+07:00,214.55746459960938,26449.357412856,Bank Central Asia,Financial Services,Banks - Regional,19.342466,4.41649,0.51928,0.23686,0.03769,,,Mega Cap
2005-11-01 00:00:00+07:00,222.70611572265625,27453.874251216,Bank Central Asia,Financial Services,Banks - Regional,19.342466,4.41649,0.51928,0.23686,0.03769,,,Mega Cap
2005-12-01 00:00:00+07:00,229.454833984375,28285.815762624,Bank Central Asia,Financial Services,Banks - Regional,19.342466,4.41649,0.51928,0.23686,0.03769,,,Mega Cap
2006-01-01 00:00:00+07:00,244.63929748535156,30157.665353172,Bank Central Asia,Financial Services,Banks - Regional,19.342466,4.41649,0.51928,0.23686,0.03769,,,Mega Cap
2006-02-01 00:00:00+07:00,242.95205688476562,29949.672451272,Bank Central Asia,Financial Services,Banks - Regional,19.342466,4.41649,0.51928,0.23686,0.03769,,,Mega Cap
2006-03-01 00:00:00+07:00,281.7569580078125,34733.307926688,Bank Central Asia,Financial Services,Banks - Regional,19.342466,4.41649,0.51928,0.23686,0.03769,,,Mega Cap
2006-04-01 00:00:00+07:00,295.2542724609375,36397.175901408,Bank Central Asia,Financial Services,Banks - Regional,19.342466,4.41649,0.51928,0.23686,0.03769,,,Mega Cap
2006-05-01 00:00:00+07:00,276.69549560546875,34109.361198192,Bank Central Asia,Financial Services,Banks - Regional,19.342466,4.41649,0.51928,0.23686,0.03769,,,Mega Cap
2006-06-01 00:00:00+07:00,276.69549560546875,34109.361198192,Bank Central Asia,Financial Services,Banks - Regional,19.342466,4.41649,0.51928,0.23686,0.03769,,,Mega Cap
2006-07-01 00:00:00+07:00,288.0806884765625,35512.859491872,Bank Central Asia,Financial Services,Banks - Regional,19.342466,4.41649,0.51928,0.23686,0.03769,,,Mega Cap
2006-08-01 00:00:00+07:00,313.9561767578125,38702.634497184,Bank Central Asia,Financial Services,Banks - Regional,19.342466,4.41649,0.51928,0.23686,0.03769,,,Mega Cap
2006-09-01 00:00:00+07:00,332.931640625,41041.815876096,Bank Central Asia,Financial Services,Banks - Regional,19.342466,4.41649,0.51928,0.23686,0.03769,,,Mega Cap
2006-10-01 00:00:00+07:00,320.8563537597656,39553.246933704,Bank Central Asia,Financial Services,Banks - Regional,19.342466,4.41649,0.51928,0.23686,0.03769,,,Mega Cap
2006-11-01 00:00:00+07:00,370.0608825683594,45618.88613772,Bank Central Asia,Financial Services,Banks - Regional,19.342466,4.41649,0.51928,0.23686,0.03769,,,Mega Cap
2006-12-01 00:00:00+07:00,363.07861328125,44758.15385664,Bank Central Asia,Financial Services,Banks - Regional,19.342466,4.41649,0.51928,0.23686,0.03769,,,Mega Cap
2007-01-01 00:00:00+07:00,356.0962829589844,43897.414051512,Bank Central Asia,Financial Services,Banks - Regional,19.342466,4.41649,0.51928,0.23686,0.03769,,,Mega Cap
2007-02-01 00:00:00+07:00,343.87738037109375,42391.141024176,Bank Central Asia,Financial Services,Banks - Regional,19.342466,4.41649,0.51928,0.23686,0.03769,,,Mega Cap
2007-03-01 00:00:00+07:00,356.0962829589844,43897.414051512,Bank Central Asia,Financial Services,Banks - Regional,19.342466,4.41649,0.51928,0.23686,0.03769,,,Mega Cap
2007-04-01 00:00:00+07:00,370.0608825683594,45618.88613772,Bank Central Asia,Financial Services,Banks - Regional,19.342466,4.41649,0.51928,0.23686,0.03769,,,Mega Cap
2007-05-01 00:00:00+07:00,366.5697326660156,45188.518116168,Bank Central Asia,Financial Services,Banks - Regional,19.342466,4.41649,0.51928,0.23686,0.03769,,,Mega Cap
2007-06-01 00:00:00+07:00,380.5343322753906,46909.990202376,Bank Central Asia,Financial Services,Banks - Regional,19.342466,4.41649,0.51928,0.23686,0.03769,,,Mega Cap
2007-07-01 00:00:00+07:00,449.4553527832031,55406.160252072,Bank Central Asia,Financial Services,Banks - Regional,19.342466,4.41649,0.51928,0.23686,0.03769,,,Mega Cap
2007-08-01 00:00:00+07:00,428.0527648925781,52767.777580392,Bank Central Asia,Financial Services,Banks - Regional,19.342466,4.41649,0.51928,0.23686,0.03769,,,Mega Cap
2007-09-01 00:00:00+07:00,438.7540588378906,54086.968916232,Bank Central Asia,Financial Services,Banks - Regional,19.342466,4.41649,0.51928,0.23686,0.03769,,,Mega Cap
2007-10-01 00:00:00+07:00,520.797607421875,64200.805523904,Bank Central Asia,Financial Services,Banks - Regional,19.342466,4.41649,0.51928,0.23686,0.03769,,,Mega Cap
2007-11-01 00:00:00+07:00,506.52899169921875,62441.856154608,Bank Central Asia,Financial Services,Banks - Regional,19.342466,4.41649,0.51928,0.23686,0.03769,,,Mega Cap
2007-12-01 00:00:00+07:00,524.8347778320312,64698.483678864,Bank Central Asia,Financial Services,Banks - Regional,19.342466,4.41649,0.51928,0.23686,0.03769,,,Mega Cap
2008-01-01 00:00:00+07:00,510.4556884765625,62925.915782688,Bank Central Asia,Financial Services,Banks - Regional,19.342466,4.41649,0.51928,0.23686,0.03769,,,Mega Cap
2008-02-01 00:00:00+07:00,514.0504150390625,63369.052113696,Bank Central Asia,Financial Services,Banks - Regional,19.342466,4.41649,0.51928,0.23686,0.03769,,,Mega Cap
2008-03-01 00:00:00+07:00,467.3186340332031,57608.238428328,Bank Central Asia,Financial Services,Banks - Regional,19.342466,4.41649,0.51928,0.23686,0.03769,,,Mega Cap
2008-04-01 00:00:00+07:00,431.3709411621094,53176.822449912,Bank Central Asia,Financial Services,Banks - Regional,19.342466,4.41649,0.51928,0.23686,0.03769,,,Mega Cap
2008-05-01 00:00:00+07:00,399.018310546875,49188.584184768,Bank Central Asia,Financial Services,Banks - Regional,19.342466,4.41649,0.51928,0.23686,0.03769,,,Mega Cap
2008-06-01 00:00:00+07:00,355.8811340332031,43870.891782312,Bank Central Asia,Financial Services,Banks - Regional,19.342466,4.41649,0.51928,0.23686,0.03769,,,Mega Cap
2008-07-01 00:00:00+07:00,445.74871826171875,54949.228579056,Bank Central Asia,Financial Services,Banks - Regional,19.342466,4.41649,0.51928,0.23686,0.03769,,,Mega Cap
2008-08-01 00:00:00+07:00,467.851806640625,57673.964749632,Bank Central Asia,Financial Services,Banks - Regional,19.342466,4.41649,0.51928,0.23686,0.03769,,,Mega Cap
2008-09-01 00:00:00+07:00,464.1679992675781,57219.847070568,Bank Central Asia,Financial Services,Banks - Regional,19.342466,4.41649,0.51928,0.23686,0.03769,,,Mega Cap
2008-10-01 00:00:00+07:00,397.8582763671875,49045.58212848,Bank Central Asia,Financial Services,Banks - Regional,19.342466,4.41649,0.51928,0.23686,0.03769,,,Mega Cap
2008-11-01 00:00:00+07:00,397.8582763671875,49045.58212848,Bank Central Asia,Financial Services,Banks - Regional,19.342466,4.41649,0.51928,0.23686,0.03769,,,Mega Cap
2008-12-01 00:00:00+07:00,478.9035949707031,59036.362931112,Bank Central Asia,Financial Services,Banks - Regional,19.342466,4.41649,0.51928,0.23686,0.03769,,,Mega Cap
2009-01-01 00:00:00+07:00,405.22607421875,49953.840058752,Bank Central Asia,Financial Services,Banks - Regional,19.342466,4.41649,0.51928,0.23686,0.03769,,,Mega Cap
2009-02-01 00:00:00+07:00,350.7074890136719,43233.115853592,Bank Central Asia,Financial Services,Banks - Regional,19.342466,4.41649,0.51928,0.23686,0.03769,,,Mega Cap
2009-03-01 00:00:00+07:00,462.6352233886719,57030.895653144,Bank Central Asia,Financial Services,Banks - Regional,19.342466,4.41649,0.51928,0.23686,0.03769,,,Mega Cap
2009-04-01 00:00:00+07:00,499.9447021484375,61630.184428512,Bank Central Asia,Financial Services,Banks - Regional,19.342466,4.41649,0.51928,0.23686,0.03769,,,Mega Cap
2009-05-01 00:00:00+07:00,503.6755676269531,62090.103148584,Bank Central Asia,Financial Services,Banks - Regional,19.342466,4.41649,0.51928,0.23686,0.03769,,,Mega Cap
2009-06-01 00:00:00+07:00,526.06103515625,64849.649327232,Bank Central Asia,Financial Services,Banks - Regional,19.342466,4.41649,0.51928,0.23686,0.03769,,,Mega Cap
2009-07-01 00:00:00+07:00,572.736083984375,70603.469409984,Bank Central Asia,Financial Services,Banks - Regional,19.342466,4.41649,0.51928,0.23686,0.03769,,,Mega Cap
2009-08-01 00:00:00+07:00,644.8019409179688,79487.31603288,Bank Central Asia,Financial Services,Banks - Regional,19.342466,4.41649,0.51928,0.23686,0.03769,,,Mega Cap
