Date,Stock Price,Market Cap (Billion USD),Company,Sector,Industry,PE_Ratio,PB_Ratio,Profit_Margin,ROE,ROA,Debt_to_Equity,Company_Age_Years,Market_Cap_Category
2003-07-01 00:00:00+07:00,75.70680236816406,7065.965636903125,Bank Mandiri,Financial Services,Banks - Regional,8.183279,1.7956908,0.40987998,0.22261,0.02665,,,Mega Cap
2003-08-01 00:00:00+07:00,83.03326416015625,7749.7684874125,Bank Mandiri,Financial Services,Banks - Regional,8.183279,1.7956908,0.40987998,0.22261,0.02665,,,Mega Cap
2003-09-01 00:00:00+07:00,83.03326416015625,7749.7684874125,Bank Mandiri,Financial Services,Banks - Regional,8.183279,1.7956908,0.40987998,0.22261,0.02665,,,Mega Cap
2003-10-01 00:00:00+07:00,92.8018798828125,8661.505621425,Bank Mandiri,Financial Services,Banks - Regional,8.183279,1.7956908,0.40987998,0.22261,0.02665,,,Mega Cap
2003-11-01 00:00:00+07:00,90.35973358154297,8433.572049998438,Bank Mandiri,Financial Services,Banks - Regional,8.183279,1.7956908,0.40987998,0.22261,0.02665,,,Mega Cap
2003-12-01 00:00:00+07:00,97.68621063232422,9117.376324660938,Bank Mandiri,Financial Services,Banks - Regional,8.183279,1.7956908,0.40987998,0.22261,0.02665,,,Mega Cap
2004-01-01 00:00:00+07:00,133.67584228515625,12476.4073838125,Bank Mandiri,Financial Services,Banks - Regional,8.183279,1.7956908,0.40987998,0.22261,0.02665,,,Mega Cap
2004-02-01 00:00:00+07:00,143.9585723876953,13436.128509065626,Bank Mandiri,Financial Services,Banks - Regional,8.183279,1.7956908,0.40987998,0.22261,0.02665,,,Mega Cap
2004-03-01 00:00:00+07:00,143.9585723876953,13436.128509065626,Bank Mandiri,Financial Services,Banks - Regional,8.183279,1.7956908,0.40987998,0.22261,0.02665,,,Mega Cap
2004-04-01 00:00:00+07:00,149.0999755859375,13915.992632075,Bank Mandiri,Financial Services,Banks - Regional,8.183279,1.7956908,0.40987998,0.22261,0.02665,,,Mega Cap
2004-05-01 00:00:00+07:00,128.53445434570312,11996.54468495625,Bank Mandiri,Financial Services,Banks - Regional,8.183279,1.7956908,0.40987998,0.22261,0.02665,,,Mega Cap
2004-06-01 00:00:00+07:00,120.8224105834961,11276.754197054688,Bank Mandiri,Financial Services,Banks - Regional,8.183279,1.7956908,0.40987998,0.22261,0.02665,,,Mega Cap
2004-07-01 00:00:00+07:00,135.8954620361328,12683.571818140625,Bank Mandiri,Financial Services,Banks - Regional,8.183279,1.7956908,0.40987998,0.22261,0.02665,,,Mega Cap
2004-08-01 00:00:00+07:00,135.8954620361328,12683.571818140625,Bank Mandiri,Financial Services,Banks - Regional,8.183279,1.7956908,0.40987998,0.22261,0.02665,,,Mega Cap
2004-09-01 00:00:00+07:00,157.6387481689453,14712.944448365624,Bank Mandiri,Financial Services,Banks - Regional,8.183279,1.7956908,0.40987998,0.22261,0.02665,,,Mega Cap
2004-10-01 00:00:00+07:00,171.22830200195312,15981.30234225625,Bank Mandiri,Financial Services,Banks - Regional,8.183279,1.7956908,0.40987998,0.22261,0.02665,,,Mega Cap
