Date,Stock Price,Market Cap (Billion USD),Company,Sector,Industry,PE_Ratio,PB_Ratio,Profit_Margin,ROE,ROA,Debt_to_Equity,Company_Age_Years,Market_Cap_Category
2006-09-01 00:00:00+08:00,4.4647955894470215,20.497431071706544,CM Bank,Financial Services,Banks - Regional,7.0868115,0.87750125,0.49886,0.12493,0.012359999,,,Large Cap
2006-10-01 00:00:00+08:00,4.936487674713135,22.66292237161377,CM Bank,Financial Services,Banks - Regional,7.0868115,0.87750125,0.49886,0.12493,0.012359999,,,Large Cap
2006-11-01 00:00:00+08:00,6.083183288574219,27.927287522148436,CM Bank,Financial Services,Banks - Regional,7.0868115,0.87750125,0.49886,0.12493,0.012359999,,,Large Cap
2006-12-01 00:00:00+08:00,6.701260566711426,30.764818636797852,CM Bank,Financial Services,Banks - Regional,7.0868115,0.87750125,0.49886,0.12493,0.012359999,,,Large Cap
2007-01-01 00:00:00+08:00,6.855778217315674,31.474193753568848,CM Bank,Financial Services,Banks - Regional,7.0868115,0.87750125,0.49886,0.12493,0.012359999,,,Large Cap
2007-02-01 00:00:00+08:00,6.457283020019531,29.64474206303906,CM Bank,Financial Services,Banks - Regional,7.0868115,0.87750125,0.49886,0.12493,0.012359999,,,Large Cap
2007-03-01 00:00:00+08:00,6.416619777679443,29.458061174671386,CM Bank,Financial Services,Banks - Regional,7.0868115,0.87750125,0.49886,0.12493,0.012359999,,,Large Cap
2007-04-01 00:00:00+08:00,7.864222049713135,36.10385876961377,CM Bank,Financial Services,Banks - Regional,7.0868115,0.87750125,0.49886,0.12493,0.012359999,,,Large Cap
2007-05-01 00:00:00+08:00,8.193592071533203,37.61596367656641,CM Bank,Financial Services,Banks - Regional,7.0868115,0.87750125,0.49886,0.12493,0.012359999,,,Large Cap
2007-06-01 00:00:00+08:00,9.755508422851562,44.78656580370313,CM Bank,Financial Services,Banks - Regional,7.0868115,0.87750125,0.49886,0.12493,0.012359999,,,Large Cap
2007-07-01 00:00:00+08:00,11.616621017456055,53.33074803116211,CM Bank,Financial Services,Banks - Regional,7.0868115,0.87750125,0.49886,0.12493,0.012359999,,,Large Cap
2007-08-01 00:00:00+08:00,11.984757423400879,55.02082553967676,CM Bank,Financial Services,Banks - Regional,7.0868115,0.87750125,0.49886,0.12493,0.012359999,,,Large Cap
2007-09-01 00:00:00+08:00,13.96858024597168,64.12835818019336,CM Bank,Financial Services,Banks - Regional,7.0868115,0.87750125,0.49886,0.12493,0.012359999,,,Large Cap
2007-10-01 00:00:00+08:00,16.136472702026367,74.08093614230273,CM Bank,Financial Services,Banks - Regional,7.0868115,0.87750125,0.49886,0.12493,0.012359999,,,Large Cap
2007-11-01 00:00:00+08:00,14.704845428466797,67.5084781714336,CM Bank,Financial Services,Banks - Regional,7.0868115,0.87750125,0.49886,0.12493,0.012359999,,,Large Cap
2007-12-01 00:00:00+08:00,13.089151382446289,60.09098801364258,CM Bank,Financial Services,Banks - Regional,7.0868115,0.87750125,0.49886,0.12493,0.012359999,,,Large Cap
2008-01-01 00:00:00+08:00,11.08487606048584,50.88955998909668,CM Bank,Financial Services,Banks - Regional,7.0868115,0.87750125,0.49886,0.12493,0.012359999,,,Large Cap
2008-02-01 00:00:00+08:00,11.268941879272461,51.73458779779492,CM Bank,Financial Services,Banks - Regional,7.0868115,0.87750125,0.49886,0.12493,0.012359999,,,Large Cap
2008-03-01 00:00:00+08:00,11.043971061706543,50.701769221038084,CM Bank,Financial Services,Banks - Regional,7.0868115,0.87750125,0.49886,0.12493,0.012359999,,,Large Cap
2008-04-01 00:00:00+08:00,13.334574699401855,61.217701974428714,CM Bank,Financial Services,Banks - Regional,7.0868115,0.87750125,0.49886,0.12493,0.012359999,,,Large Cap
2008-05-01 00:00:00+08:00,11.432557106018066,52.48572897891113,CM Bank,Financial Services,Banks - Regional,7.0868115,0.87750125,0.49886,0.12493,0.012359999,,,Large Cap
2008-06-01 00:00:00+08:00,10.118577003479004,46.453377431833005,CM Bank,Financial Services,Banks - Regional,7.0868115,0.87750125,0.49886,0.12493,0.012359999,,,Large Cap
2008-07-01 00:00:00+08:00,11.749937057495117,53.94278866924024,CM Bank,Financial Services,Banks - Regional,7.0868115,0.87750125,0.49886,0.12493,0.012359999,,,Large Cap
2008-08-01 00:00:00+08:00,10.903284072875977,50.05588929250195,CM Bank,Financial Services,Banks - Regional,7.0868115,0.87750125,0.49886,0.12493,0.012359999,,,Large Cap
2008-09-01 00:00:00+08:00,7.524914264678955,34.54613058329541,CM Bank,Financial Services,Banks - Regional,7.0868115,0.87750125,0.49886,0.12493,0.012359999,,,Large Cap
2008-10-01 00:00:00+08:00,4.74953556060791,21.80464386909082,CM Bank,Financial Services,Banks - Regional,7.0868115,0.87750125,0.49886,0.12493,0.012359999,,,Large Cap
2008-11-01 00:00:00+08:00,5.137758255004883,23.586935523759767,CM Bank,Financial Services,Banks - Regional,7.0868115,0.87750125,0.49886,0.12493,0.012359999,,,Large Cap
2008-12-01 00:00:00+08:00,5.930724620819092,27.227364990200684,CM Bank,Financial Services,Banks - Regional,7.0868115,0.87750125,0.49886,0.12493,0.012359999,,,Large Cap
2009-01-01 00:00:00+08:00,5.319479942321777,24.421201658768556,CM Bank,Financial Services,Banks - Regional,7.0868115,0.87750125,0.49886,0.12493,0.012359999,,,Large Cap
2009-02-01 00:00:00+08:00,4.74953556060791,21.80464386909082,CM Bank,Financial Services,Banks - Regional,7.0868115,0.87750125,0.49886,0.12493,0.012359999,,,Large Cap
2009-03-01 00:00:00+08:00,5.592061996459961,25.672598672169922,CM Bank,Financial Services,Banks - Regional,7.0868115,0.87750125,0.49886,0.12493,0.012359999,,,Large Cap
2009-04-01 00:00:00+08:00,5.790304660797119,26.582710964281738,CM Bank,Financial Services,Banks - Regional,7.0868115,0.87750125,0.49886,0.12493,0.012359999,,,Large Cap
2009-05-01 00:00:00+08:00,8.49382209777832,38.99428977130664,CM Bank,Financial Services,Banks - Regional,7.0868115,0.87750125,0.49886,0.12493,0.012359999,,,Large Cap
2009-06-01 00:00:00+08:00,9.594513893127441,44.047455981129886,CM Bank,Financial Services,Banks - Regional,7.0868115,0.87750125,0.49886,0.12493,0.012359999,,,Large Cap
2009-07-01 00:00:00+08:00,9.854117393493652,45.2392697491123,CM Bank,Financial Services,Banks - Regional,7.0868115,0.87750125,0.49886,0.12493,0.012359999,,,Large Cap
2009-08-01 00:00:00+08:00,9.129393577575684,41.91213502027637,CM Bank,Financial Services,Banks - Regional,7.0868115,0.87750125,0.49886,0.12493,0.012359999,,,Large Cap
2009-09-01 00:00:00+08:00,9.34572696685791,42.90530002559082,CM Bank,Financial Services,Banks - Regional,7.0868115,0.87750125,0.49886,0.12493,0.012359999,,,Large Cap
2009-10-01 00:00:00+08:00,11.006108283996582,50.52794498636816,CM Bank,Financial Services,Banks - Regional,7.0868115,0.87750125,0.49886,0.12493,0.012359999,,,Large Cap
