Date,Stock Price,Market Cap (Billion USD),Company,Sector,Industry,PE_Ratio,PB_Ratio,Profit_Margin,ROE,ROA,Debt_to_Equity,Company_Age_Years,Market_Cap_Category
2000-01-01 00:00:00-05:00,27.66204071044922,32.27081464099512,Carnival Corporation,Consumer Cyclical,Travel Services,11.832258,2.6185036,0.08071,0.2587,0.048130002,309.246,,Large Cap
2000-02-01 00:00:00-05:00,17.686824798583984,20.633627527243654,Carnival Corporation,Consumer Cyclical,Travel Services,11.832258,2.6185036,0.08071,0.2587,0.048130002,309.246,,Large Cap
2000-03-01 00:00:00-05:00,15.285565376281738,17.832294157331177,Carnival Corporation,Consumer Cyclical,Travel Services,11.832258,2.6185036,0.08071,0.2587,0.048130002,309.246,,Large Cap
2000-04-01 00:00:00-05:00,15.32406997680664,17.877214011197754,Carnival Corporation,Consumer Cyclical,Travel Services,11.832258,2.6185036,0.08071,0.2587,0.048130002,309.246,,Large Cap
2000-05-01 00:00:00-04:00,16.710166931152344,19.494248645639647,Carnival Corporation,Consumer Cyclical,Travel Services,11.832258,2.6185036,0.08071,0.2587,0.048130002,309.246,,Large Cap
2000-06-01 00:00:00-04:00,12.062137603759766,14.071810928904785,Carnival Corporation,Consumer Cyclical,Travel Services,11.832258,2.6185036,0.08071,0.2587,0.048130002,309.246,,Large Cap
2000-07-01 00:00:00-04:00,11.520893096923828,13.440389648805176,Carnival Corporation,Consumer Cyclical,Travel Services,11.832258,2.6185036,0.08071,0.2587,0.048130002,309.246,,Large Cap
2000-08-01 00:00:00-04:00,12.34243392944336,14.398807438864747,Carnival Corporation,Consumer Cyclical,Travel Services,11.832258,2.6185036,0.08071,0.2587,0.048130002,309.246,,Large Cap
2000-09-01 00:00:00-04:00,15.309087753295898,17.859735598708742,Carnival Corporation,Consumer Cyclical,Travel Services,11.832258,2.6185036,0.08071,0.2587,0.048130002,309.246,,Large Cap
2000-10-01 00:00:00-04:00,15.425662994384766,17.995733446311036,Carnival Corporation,Consumer Cyclical,Travel Services,11.832258,2.6185036,0.08071,0.2587,0.048130002,309.246,,Large Cap
2000-11-01 00:00:00-05:00,14.104569435119629,16.454532425724242,Carnival Corporation,Consumer Cyclical,Travel Services,11.832258,2.6185036,0.08071,0.2587,0.048130002,309.246,,Large Cap
2000-12-01 00:00:00-05:00,19.242938995361328,22.449005985039552,Carnival Corporation,Consumer Cyclical,Travel Services,11.832258,2.6185036,0.08071,0.2587,0.048130002,309.246,,Large Cap
2001-01-01 00:00:00-05:00,20.14691734313965,23.503596208732176,Carnival Corporation,Consumer Cyclical,Travel Services,11.832258,2.6185036,0.08071,0.2587,0.048130002,309.246,,Large Cap
2001-02-01 00:00:00-05:00,20.821401596069336,24.290456315417725,Carnival Corporation,Consumer Cyclical,Travel Services,11.832258,2.6185036,0.08071,0.2587,0.048130002,309.246,,Large Cap
2001-03-01 00:00:00-05:00,17.341060638427734,20.23025558376709,Carnival Corporation,Consumer Cyclical,Travel Services,11.832258,2.6185036,0.08071,0.2587,0.048130002,309.246,,Large Cap
2001-04-01 00:00:00-05:00,16.60780906677246,19.374836932562257,Carnival Corporation,Consumer Cyclical,Travel Services,11.832258,2.6185036,0.08071,0.2587,0.048130002,309.246,,Large Cap
2001-05-01 00:00:00-04:00,17.6920166015625,20.639684336765626,Carnival Corporation,Consumer Cyclical,Travel Services,11.832258,2.6185036,0.08071,0.2587,0.048130002,309.246,,Large Cap
