Date,Stock Price,Market Cap (Billion USD),Company,Sector,Industry,PE_Ratio,PB_Ratio,Profit_Margin,ROE,ROA,Debt_to_Equity,Company_Age_Years,Market_Cap_Category
2007-12-01 00:00:00+08:00,33.128196716308594,226.76383589141017,China Pacific Insurance,Financial Services,Insurance - Life,6.7078657,1.0893763,0.13585,0.15657,0.013300001,76.427,,Mega Cap
2008-01-01 00:00:00+08:00,24.476245880126953,167.54088523226366,China Pacific Insurance,Financial Services,Insurance - Life,6.7078657,1.0893763,0.13585,0.15657,0.013300001,76.427,,Mega Cap
2008-02-01 00:00:00+08:00,23.36157989501953,159.91095183488673,China Pacific Insurance,Financial Services,Insurance - Life,6.7078657,1.0893763,0.13585,0.15657,0.013300001,76.427,,Mega Cap
2008-03-01 00:00:00+08:00,17.297256469726562,118.40041463958593,China Pacific Insurance,Financial Services,Insurance - Life,6.7078657,1.0893763,0.13585,0.15657,0.013300001,76.427,,Mega Cap
2008-04-01 00:00:00+08:00,19.420434951782227,132.9336565481631,China Pacific Insurance,Financial Services,Insurance - Life,6.7078657,1.0893763,0.13585,0.15657,0.013300001,76.427,,Mega Cap
2008-05-01 00:00:00+08:00,16.102970123291016,110.22547667391211,China Pacific Insurance,Financial Services,Insurance - Life,6.7078657,1.0893763,0.13585,0.15657,0.013300001,76.427,,Mega Cap
2008-06-01 00:00:00+08:00,12.772233963012695,87.42645400102637,China Pacific Insurance,Financial Services,Insurance - Life,6.7078657,1.0893763,0.13585,0.15657,0.013300001,76.427,,Mega Cap
2008-07-01 00:00:00+08:00,12.763594627380371,87.36731740194385,China Pacific Insurance,Financial Services,Insurance - Life,6.7078657,1.0893763,0.13585,0.15657,0.013300001,76.427,,Mega Cap
2008-08-01 00:00:00+08:00,12.689505577087402,86.86017487964307,China Pacific Insurance,Financial Services,Insurance - Life,6.7078657,1.0893763,0.13585,0.15657,0.013300001,76.427,,Mega Cap
2008-09-01 00:00:00+08:00,11.140363693237305,76.25623652072363,China Pacific Insurance,Financial Services,Insurance - Life,6.7078657,1.0893763,0.13585,0.15657,0.013300001,76.427,,Mega Cap
2008-10-01 00:00:00+08:00,7.826542377471924,53.572996637287844,China Pacific Insurance,Financial Services,Insurance - Life,6.7078657,1.0893763,0.13585,0.15657,0.013300001,76.427,,Mega Cap
2008-11-01 00:00:00+08:00,7.489771842956543,51.26778881460205,China Pacific Insurance,Financial Services,Insurance - Life,6.7078657,1.0893763,0.13585,0.15657,0.013300001,76.427,,Mega Cap
2008-12-01 00:00:00+08:00,7.489771842956543,51.26778881460205,China Pacific Insurance,Financial Services,Insurance - Life,6.7078657,1.0893763,0.13585,0.15657,0.013300001,76.427,,Mega Cap
2009-01-01 00:00:00+08:00,9.227506637573242,63.1626532155752,China Pacific Insurance,Financial Services,Insurance - Life,6.7078657,1.0893763,0.13585,0.15657,0.013300001,76.427,,Mega Cap
2009-02-01 00:00:00+08:00,9.14668083190918,62.60939733242676,China Pacific Insurance,Financial Services,Insurance - Life,6.7078657,1.0893763,0.13585,0.15657,0.013300001,76.427,,Mega Cap
2009-03-01 00:00:00+08:00,11.30201244354248,77.36272870320362,China Pacific Insurance,Financial Services,Insurance - Life,6.7078657,1.0893763,0.13585,0.15657,0.013300001,76.427,,Mega Cap
2009-04-01 00:00:00+08:00,11.820637702941895,80.912739415187,China Pacific Insurance,Financial Services,Insurance - Life,6.7078657,1.0893763,0.13585,0.15657,0.013300001,76.427,,Mega Cap
2009-05-01 00:00:00+08:00,11.551222801208496,79.06858360174073,China Pacific Insurance,Financial Services,Insurance - Life,6.7078657,1.0893763,0.13585,0.15657,0.013300001,76.427,,Mega Cap
2009-06-01 00:00:00+08:00,15.073836326599121,103.1810145384751,China Pacific Insurance,Financial Services,Insurance - Life,6.7078657,1.0893763,0.13585,0.15657,0.013300001,76.427,,Mega Cap
2009-07-01 00:00:00+08:00,18.985910415649414,129.9593186617334,China Pacific Insurance,Financial Services,Insurance - Life,6.7078657,1.0893763,0.13585,0.15657,0.013300001,76.427,,Mega Cap
2009-08-01 00:00:00+08:00,13.407049179077148,91.77178962885255,China Pacific Insurance,Financial Services,Insurance - Life,6.7078657,1.0893763,0.13585,0.15657,0.013300001,76.427,,Mega Cap
2009-09-01 00:00:00+08:00,15.2256498336792,104.22018408641064,China Pacific Insurance,Financial Services,Insurance - Life,6.7078657,1.0893763,0.13585,0.15657,0.013300001,76.427,,Mega Cap
2009-10-01 00:00:00+08:00,16.729755401611328,114.51584705565429,China Pacific Insurance,Financial Services,Insurance - Life,6.7078657,1.0893763,0.13585,0.15657,0.013300001,76.427,,Mega Cap
2009-11-01 00:00:00+08:00,16.79812240600586,114.98382194416601,China Pacific Insurance,Financial Services,Insurance - Life,6.7078657,1.0893763,0.13585,0.15657,0.013300001,76.427,,Mega Cap
2009-12-01 00:00:00+08:00,17.5159969329834,119.8977018881963,China Pacific Insurance,Financial Services,Insurance - Life,6.7078657,1.0893763,0.13585,0.15657,0.013300001,76.427,,Mega Cap
