Date,Stock Price,Market Cap (Billion USD),Company,Sector,Industry,PE_Ratio,PB_Ratio,Profit_Margin,ROE,ROA,Debt_to_Equity,Company_Age_Years,Market_Cap_Category
2000-01-01 00:00:00-05:00,10.39201831817627,3.743204998207092,Consolidated Edison,Utilities,Utilities - Regulated Electric,21.517176,1.7793734,0.1193,0.08442,0.029979998,126.714,,Large Cap
2000-02-01 00:00:00-05:00,8.762676239013672,3.1563159812927246,Consolidated Edison,Utilities,Utilities - Regulated Electric,21.517176,1.7793734,0.1193,0.08442,0.029979998,126.714,,Large Cap
2000-03-01 00:00:00-05:00,9.41922378540039,3.3928044075012207,Consolidated Edison,Utilities,Utilities - Regulated Electric,21.517176,1.7793734,0.1193,0.08442,0.029979998,126.714,,Large Cap
2000-04-01 00:00:00-05:00,11.379876136779785,4.099031384468079,Consolidated Edison,Utilities,Utilities - Regulated Electric,21.517176,1.7793734,0.1193,0.08442,0.029979998,126.714,,Large Cap
2000-05-01 00:00:00-04:00,10.551145553588867,3.80052262840271,Consolidated Edison,Utilities,Utilities - Regulated Electric,21.517176,1.7793734,0.1193,0.08442,0.029979998,126.714,,Large Cap
2000-06-01 00:00:00-04:00,9.734426498413086,3.5063404247283936,Consolidated Edison,Utilities,Utilities - Regulated Electric,21.517176,1.7793734,0.1193,0.08442,0.029979998,126.714,,Large Cap
2000-07-01 00:00:00-04:00,9.96032428741455,3.5877088083267212,Consolidated Edison,Utilities,Utilities - Regulated Electric,21.517176,1.7793734,0.1193,0.08442,0.029979998,126.714,,Large Cap
2000-08-01 00:00:00-04:00,10.288912773132324,3.7060663808822634,Consolidated Edison,Utilities,Utilities - Regulated Electric,21.517176,1.7793734,0.1193,0.08442,0.029979998,126.714,,Large Cap
2000-09-01 00:00:00-04:00,11.40259075164795,4.107213188743591,Consolidated Edison,Utilities,Utilities - Regulated Electric,21.517176,1.7793734,0.1193,0.08442,0.029979998,126.714,,Large Cap
2000-10-01 00:00:00-04:00,11.752237319946289,4.233155882644653,Consolidated Edison,Utilities,Utilities - Regulated Electric,21.517176,1.7793734,0.1193,0.08442,0.029979998,126.714,,Large Cap
2000-11-01 00:00:00-05:00,12.441086769104004,4.481279454231262,Consolidated Edison,Utilities,Utilities - Regulated Electric,21.517176,1.7793734,0.1193,0.08442,0.029979998,126.714,,Large Cap
2000-12-01 00:00:00-05:00,13.059061050415039,4.703873790359497,Consolidated Edison,Utilities,Utilities - Regulated Electric,21.517176,1.7793734,0.1193,0.08442,0.029979998,126.714,,Large Cap
2001-01-01 00:00:00-05:00,11.851515769958496,4.268915980339051,Consolidated Edison,Utilities,Utilities - Regulated Electric,21.517176,1.7793734,0.1193,0.08442,0.029979998,126.714,,Large Cap
2001-02-01 00:00:00-05:00,12.506173133850098,4.5047235628128055,Consolidated Edison,Utilities,Utilities - Regulated Electric,21.517176,1.7793734,0.1193,0.08442,0.029979998,126.714,,Large Cap
2001-03-01 00:00:00-05:00,12.775323867797852,4.601671657180786,Consolidated Edison,Utilities,Utilities - Regulated Electric,21.517176,1.7793734,0.1193,0.08442,0.029979998,126.714,,Large Cap
2001-04-01 00:00:00-05:00,12.882074356079102,4.640123183059693,Consolidated Edison,Utilities,Utilities - Regulated Electric,21.517176,1.7793734,0.1193,0.08442,0.029979998,126.714,,Large Cap
2001-05-01 00:00:00-04:00,13.481242179870605,4.855943433189392,Consolidated Edison,Utilities,Utilities - Regulated Electric,21.517176,1.7793734,0.1193,0.08442,0.029979998,126.714,,Large Cap
