Date,Stock Price,Market Cap (Billion USD),Company,Sector,Industry,PE_Ratio,PB_Ratio,Profit_Margin,ROE,ROA,Debt_to_Equity,Company_Age_Years,Market_Cap_Category
2000-01-01 00:00:00-05:00,20.232797622680664,8.810047676309571,Crown Castle,Real Estate,REIT - Specialty,,-345.62094,-0.59424,-1.24936,0.03994,,,Large Cap
2000-02-01 00:00:00-05:00,20.632652282714844,8.984157983949219,Crown Castle,Real Estate,REIT - Specialty,,-345.62094,-0.59424,-1.24936,0.03994,,,Large Cap
2000-03-01 00:00:00-05:00,24.231367111206055,10.551160718999023,Crown Castle,Real Estate,REIT - Specialty,,-345.62094,-0.59424,-1.24936,0.03994,,,Large Cap
2000-04-01 00:00:00-05:00,24.55125617980957,10.690451290579102,Crown Castle,Real Estate,REIT - Specialty,,-345.62094,-0.59424,-1.24936,0.03994,,,Large Cap
2000-05-01 00:00:00-04:00,16.7540283203125,7.2952732995625,Crown Castle,Real Estate,REIT - Specialty,,-345.62094,-0.59424,-1.24936,0.03994,,,Large Cap
2000-06-01 00:00:00-04:00,23.351680755615234,10.168115384513673,Crown Castle,Real Estate,REIT - Specialty,,-345.62094,-0.59424,-1.24936,0.03994,,,Large Cap
2000-07-01 00:00:00-04:00,21.752254486083984,9.471670831857422,Crown Castle,Real Estate,REIT - Specialty,,-345.62094,-0.59424,-1.24936,0.03994,,,Large Cap
2000-08-01 00:00:00-04:00,22.19209861755371,9.663193914362305,Crown Castle,Real Estate,REIT - Specialty,,-345.62094,-0.59424,-1.24936,0.03994,,,Large Cap
2000-09-01 00:00:00-04:00,19.872926712036133,8.653347651961914,Crown Castle,Real Estate,REIT - Specialty,,-345.62094,-0.59424,-1.24936,0.03994,,,Large Cap
2000-10-01 00:00:00-04:00,19.393091201782227,8.444410964067384,Crown Castle,Real Estate,REIT - Specialty,,-345.62094,-0.59424,-1.24936,0.03994,,,Large Cap
2000-11-01 00:00:00-05:00,15.234570503234863,6.633649728752442,Crown Castle,Real Estate,REIT - Specialty,,-345.62094,-0.59424,-1.24936,0.03994,,,Large Cap
2000-12-01 00:00:00-05:00,17.313831329345703,7.539030554041015,Crown Castle,Real Estate,REIT - Specialty,,-345.62094,-0.59424,-1.24936,0.03994,,,Large Cap
2001-01-01 00:00:00-05:00,17.87363624572754,7.782788639043945,Crown Castle,Real Estate,REIT - Specialty,,-345.62094,-0.59424,-1.24936,0.03994,,,Large Cap
2001-02-01 00:00:00-05:00,16.07427406311035,6.9992851952080075,Crown Castle,Real Estate,REIT - Specialty,,-345.62094,-0.59424,-1.24936,0.03994,,,Large Cap
2001-03-01 00:00:00-05:00,9.476622581481934,4.126443525519043,Crown Castle,Real Estate,REIT - Specialty,,-345.62094,-0.59424,-1.24936,0.03994,,,Large Cap
2001-04-01 00:00:00-05:00,15.668013572692871,6.82238557132373,Crown Castle,Real Estate,REIT - Specialty,,-345.62094,-0.59424,-1.24936,0.03994,,,Large Cap
2001-05-01 00:00:00-04:00,10.620217323303223,4.6244035400317385,Crown Castle,Real Estate,REIT - Specialty,,-345.62094,-0.59424,-1.24936,0.03994,,,Large Cap
2001-06-01 00:00:00-04:00,10.492262840270996,4.568687809714356,Crown Castle,Real Estate,REIT - Specialty,,-345.62094,-0.59424,-1.24936,0.03994,,,Large Cap
2001-07-01 00:00:00-04:00,6.23777961730957,2.7161412300791015,Crown Castle,Real Estate,REIT - Specialty,,-345.62094,-0.59424,-1.24936,0.03994,,,Large Cap
2001-08-01 00:00:00-04:00,6.519277572631836,2.83871500625293,Crown Castle,Real Estate,REIT - Specialty,,-345.62094,-0.59424,-1.24936,0.03994,,,Large Cap
2001-09-01 00:00:00-04:00,5.757949352264404,2.507206826126709,Crown Castle,Real Estate,REIT - Specialty,,-345.62094,-0.59424,-1.24936,0.03994,,,Large Cap
2001-10-01 00:00:00-04:00,7.485334396362305,3.2593689777802735,Crown Castle,Real Estate,REIT - Specialty,,-345.62094,-0.59424,-1.24936,0.03994,,,Large Cap
2001-11-01 00:00:00-05:00,6.967117786407471,3.033719854732666,Crown Castle,Real Estate,REIT - Specialty,,-345.62094,-0.59424,-1.24936,0.03994,,,Large Cap
2001-12-01 00:00:00-05:00,6.832766532897949,2.975218753161621,Crown Castle,Real Estate,REIT - Specialty,,-345.62094,-0.59424,-1.24936,0.03994,,,Large Cap
2002-01-01 00:00:00-05:00,4.651143550872803,2.025265966512451,Crown Castle,Real Estate,REIT - Specialty,,-345.62094,-0.59424,-1.24936,0.03994,,,Large Cap
2002-02-01 00:00:00-05:00,3.97298526763916,1.7299728034614257,Crown Castle,Real Estate,REIT - Specialty,,-345.62094,-0.59424,-1.24936,0.03994,,,Large Cap
