Date,Stock Price,Market Cap (Billion USD),Company
2001-12-01 00:00:00+01:00,-45.936527252197266,-138.96213143030275,Crédit Agricole
2002-01-01 00:00:00+01:00,-48.02808380126953,-145.28927833173046,Crédit Agricole
2002-02-01 00:00:00+01:00,-48.93182373046875,-148.02317299753125,Crédit Agricole
2002-03-01 00:00:00+01:00,-55.46468734741211,-167.78567371008788,Crédit Agricole
2002-04-01 00:00:00+02:00,-60.577335357666016,-183.25189432483398,Crédit Agricole
2002-05-01 00:00:00+02:00,-63.26278305053711,-191.37561541496288,Crédit Agricole
2002-06-01 00:00:00+02:00,-58.09847640991211,-175.75312279158788,Crédit Agricole
2002-07-01 00:00:00+02:00,-55.20635223388672,-167.0041867291133,Crédit Agricole
2002-08-01 00:00:00+02:00,-57.84780502319336,-174.99481927430665,Crédit Agricole
2002-09-01 00:00:00+02:00,-41.10100173950195,-124.33423132499804,Crédit Agricole
2002-10-01 00:00:00+02:00,-43.63679504394531,-132.00523441405468,Crédit Agricole
2002-11-01 00:00:00+01:00,-43.266990661621094,-130.8865428573789,Crédit Agricole
2002-12-01 00:00:00+01:00,-37.984073638916016,-114.90524314758399,Crédit Agricole
2003-01-01 00:00:00+01:00,-37.82560348510742,-114.42585666239258,Crédit Agricole
2003-02-01 00:00:00+01:00,-36.584110260009766,-110.67022786249024,Crédit Agricole
2003-03-01 00:00:00+01:00,-37.693519592285156,-114.02629099271485,Crédit Agricole
2003-04-01 00:00:00+02:00,-43.557559967041016,-131.76554117145898,Crédit Agricole
2003-05-01 00:00:00+02:00,-47.017845153808594,-142.2332154531914,Crédit Agricole
2003-06-01 00:00:00+02:00,-43.71603012084961,-132.2449276566504,Crédit Agricole
2003-07-01 00:00:00+02:00,-46.14812088012695,-139.60222120837304,Crédit Agricole
2003-08-01 00:00:00+02:00,-47.156673431396484,-142.6531834941035,Crédit Agricole
2003-09-01 00:00:00+02:00,-45.60295486450195,-137.95304491999804,Crédit Agricole
2003-10-01 00:00:00+02:00,-50.18168640136719,-151.80412012463282,Crédit Agricole
2003-11-01 00:00:00+01:00,-49.98943328857422,-151.2225371464258,Crédit Agricole
2003-12-01 00:00:00+01:00,-51.9944953918457,-157.2880305606543,Crédit Agricole
2004-01-01 00:00:00+01:00,-53.91716003417969,-163.10426423582032,Crédit Agricole
2004-02-01 00:00:00+01:00,-56.85612106323242,-171.99488599626758,Crédit Agricole
2004-03-01 00:00:00+01:00,-58.36677169799805,-176.56474019750195,Crédit Agricole
2004-04-01 00:00:00+02:00,-56.52650833129883,-170.99777780120118,Crédit Agricole
2004-05-01 00:00:00+02:00,-55.372901916503906,-167.5080145164961,Crédit Agricole
2004-06-01 00:00:00+02:00,-56.43434143066406,-170.71896462733594,Crédit Agricole
2004-07-01 00:00:00+02:00,-55.305667877197266,-167.30462549330272,Crédit Agricole
2004-08-01 00:00:00+02:00,-58.409549713134766,-176.69414754536524,Crédit Agricole
2004-09-01 00:00:00+02:00,-61.96492385864258,-187.4494744898574,Crédit Agricole
2004-10-01 00:00:00+02:00,-64.8148422241211,-196.0707341748789,Crédit Agricole
2004-11-01 00:00:00+01:00,37.45320510864258,113.29931803985743,Crédit Agricole
2004-12-01 00:00:00+01:00,37.3187141418457,112.8924707546543,Crédit Agricole
2005-01-01 00:00:00+01:00,39.19528579711914,118.56926899338086,Crédit Agricole
2005-02-01 00:00:00+01:00,38.44053649902344,116.28608440297656,Crédit Agricole
2005-03-01 00:00:00+01:00,35.97047424316406,108.81392365483593,Crédit Agricole
2005-04-01 00:00:00+02:00,34.32374572753906,103.83242161046094,Crédit Agricole
2005-05-01 00:00:00+02:00,36.142005920410156,109.33282242458985,Crédit Agricole
2005-06-01 00:00:00+02:00,36.58438491821289,110.67105872828711,Crédit Agricole
2005-07-01 00:00:00+02:00,39.464351654052734,119.38321743944726,Crédit Agricole
2005-08-01 00:00:00+02:00,37.70145797729492,114.05030532220508,Crédit Agricole
2005-09-01 00:00:00+02:00,42.588680267333984,128.83459283416602,Crédit Agricole
2005-10-01 00:00:00+02:00,42.675960540771484,129.09862352072852,Crédit Agricole
2005-11-01 00:00:00+01:00,-11.012264251708984,-33.313090993791015,Crédit Agricole
2005-12-01 00:00:00+01:00,-11.406630516052246,-34.50608445532276,Crédit Agricole
2006-01-01 00:00:00+01:00,-12.452558517456055,-37.67011084329395,Crédit Agricole
2006-02-01 00:00:00+01:00,-13.142699241638184,-39.75784867973682,Crédit Agricole
2006-03-01 00:00:00+01:00,-13.764257431030273,-41.63811817271973,Crédit Agricole
2006-04-01 00:00:00+02:00,-13.691386222839355,-41.417676206035644,Crédit Agricole
2006-05-01 00:00:00+02:00,-12.469706535339355,-37.72198514153565,Crédit Agricole
2006-06-01 00:00:00+02:00,-13.164704322814941,-39.82441603181006,Crédit Agricole
2006-07-01 00:00:00+02:00,-13.925823211669922,-42.126869207830076,Crédit Agricole
2006-08-01 00:00:00+02:00,-14.032027244567871,-42.448145970807126,Crédit Agricole
2006-09-01 00:00:00+02:00,-15.328581809997559,-46.370340283377445,Crédit Agricole
2006-10-01 00:00:00+02:00,-14.740043640136719,-44.58995932286328,Crédit Agricole
2006-11-01 00:00:00+01:00,-14.147076606750488,-42.79618065137451,Crédit Agricole
2006-12-01 00:00:00+01:00,-14.09840202331543,-42.64893565343457,Crédit Agricole
2007-01-01 00:00:00+01:00,-14.761077880859375,-44.653589795140626,Crédit Agricole
2007-02-01 00:00:00+01:00,11.507920265197754,34.81249506742724,Crédit Agricole
2007-03-01 00:00:00+01:00,11.137807846069336,33.69287167168066,Crédit Agricole
2007-04-01 00:00:00+02:00,11.85895824432373,35.87441656455127,Crédit Agricole
2007-05-01 00:00:00+02:00,11.706332206726074,35.41270905714892,Crédit Agricole
2007-06-01 00:00:00+02:00,11.96919059753418,36.20787935921582,Crédit Agricole
2007-07-01 00:00:00+02:00,11.239700317382812,34.001105572617185,Crédit Agricole
2007-08-01 00:00:00+02:00,10.982003211975098,33.2215486236499,Crédit Agricole
2007-09-01 00:00:00+02:00,10.724299430847168,32.44197148002783,Crédit Agricole
2007-10-01 00:00:00+02:00,10.819451332092285,32.72981454953271,Crédit Agricole
2007-11-01 00:00:00+01:00,9.523019790649414,28.807992395600586,Crédit Agricole
2007-12-01 00:00:00+01:00,9.146381378173828,27.66862728232617,Crédit Agricole
2008-01-01 00:00:00+01:00,8.123509407043457,24.574347462081544,Crédit Agricole
2008-02-01 00:00:00+01:00,7.152177810668945,21.635981916581056,Crédit Agricole
2008-03-01 00:00:00+01:00,7.770657539367676,23.506938788757324,Crédit Agricole
2008-04-01 00:00:00+02:00,8.583403587341309,25.96556877003369,Crédit Agricole
2008-05-01 00:00:00+02:00,6.743821144104004,20.400666228520997,Crédit Agricole
2008-06-01 00:00:00+02:00,5.990778923034668,18.122645699840334,Crédit Agricole
2008-07-01 00:00:00+02:00,6.3553948402404785,19.22564168232202,Crédit Agricole
2008-08-01 00:00:00+02:00,6.701549053192139,20.27278934699536,Crédit Agricole
2008-09-01 00:00:00+02:00,6.186933517456055,18.716031011293946,Crédit Agricole
2008-10-01 00:00:00+02:00,5.1853928565979,15.6862803254646,Crédit Agricole
2008-11-01 00:00:00+01:00,4.022313594818115,12.167860825619385,Crédit Agricole
2008-12-01 00:00:00+01:00,3.6923131942749023,11.169579898100098,Crédit Agricole
2009-01-01 00:00:00+01:00,4.403083324432373,13.319723545255126,Crédit Agricole
2009-02-01 00:00:00+01:00,3.595390558242798,10.876380196413452,Crédit Agricole
2009-03-01 00:00:00+01:00,3.836313009262085,11.605192305331665,Crédit Agricole
2009-04-01 00:00:00+02:00,5.169238567352295,15.637412145835205,Crédit Agricole
2009-05-01 00:00:00+02:00,4.767698764801025,14.422718085261474,Crédit Agricole
2009-06-01 00:00:00+02:00,4.2800517082214355,12.947541827466065,Crédit Agricole
2009-07-01 00:00:00+02:00,4.829283237457275,14.609016660605224,Crédit Agricole
2009-08-01 00:00:00+02:00,6.2300896644592285,18.84658224210327,Crédit Agricole
2009-09-01 00:00:00+02:00,6.885888576507568,20.83043300442993,Crédit Agricole
2009-10-01 00:00:00+02:00,6.319297790527344,19.116444856472658,Crédit Agricole
2009-11-01 00:00:00+01:00,6.6447858810424805,20.10107563983252,Crédit Agricole
2009-12-01 00:00:00+01:00,5.960054874420166,18.029702686142333,Crédit Agricole
2010-01-01 00:00:00+01:00,5.516425609588623,16.687684212098876,Crédit Agricole
2010-02-01 00:00:00+01:00,5.265679359436035,15.929154226188965,Crédit Agricole
2010-03-01 00:00:00+01:00,6.249378681182861,18.90493325462964,Crédit Agricole
2010-04-01 00:00:00+02:00,5.217460632324219,15.783288234675782,Crédit Agricole
2010-05-01 00:00:00+02:00,4.280534267425537,12.949001612511962,Crédit Agricole
2010-06-01 00:00:00+02:00,4.38255500793457,13.25762353931543,Crédit Agricole
2010-07-01 00:00:00+02:00,5.334182262420654,16.136381676266847,Crédit Agricole
2010-08-01 00:00:00+02:00,5.047424793243408,15.268914510069092,Crédit Agricole
2010-09-01 00:00:00+02:00,5.818875789642334,17.602623241795165,Crédit Agricole
2010-10-01 00:00:00+02:00,5.976211071014404,18.078576635673095,Crédit Agricole
2010-11-01 00:00:00+01:00,4.791628360748291,14.495107267814209,Crédit Agricole
2010-12-01 00:00:00+01:00,4.823602676391602,14.591832451858398,Crédit Agricole
2011-01-01 00:00:00+01:00,5.476291179656982,16.56627394753052,Crédit Agricole
2011-02-01 00:00:00+01:00,6.455831050872803,19.529470263564697,Crédit Agricole
2011-03-01 00:00:00+01:00,5.877243518829346,17.779190878483153,Crédit Agricole
2011-04-01 00:00:00+02:00,5.704681873321533,17.257176361990968,Crédit Agricole
2011-05-01 00:00:00+02:00,5.390010356903076,16.305266689284423,Crédit Agricole
2011-06-01 00:00:00+02:00,5.493292808532715,16.617705405842287,Crédit Agricole
2011-07-01 00:00:00+02:00,4.565207004547119,13.810162276515381,Crédit Agricole
2011-08-01 00:00:00+02:00,3.613283634185791,10.93050836237671,Crédit Agricole
2011-09-01 00:00:00+02:00,2.770484209060669,8.380964208970582,Crédit Agricole
2011-10-01 00:00:00+02:00,3.0067436695098877,9.095670351521361,Crédit Agricole
2011-11-01 00:00:00+01:00,2.5183324813842773,7.618182526990723,Crédit Agricole
2011-12-01 00:00:00+01:00,2.309619665145874,6.986807463697876,Crédit Agricole
2012-01-01 00:00:00+01:00,2.4955546855926514,7.549277643626098,Crédit Agricole
2012-02-01 00:00:00+01:00,2.5464084148406982,7.703114753878052,Crédit Agricole
2012-03-01 00:00:00+01:00,2.468538284301758,7.467550596948242,Crédit Agricole
2012-04-01 00:00:00+02:00,2.056938648223877,6.222424634088623,Crédit Agricole
2012-05-01 00:00:00+02:00,1.5319768190383911,4.634367829039734,Crédit Agricole
2012-06-01 00:00:00+02:00,1.8386898040771484,5.562202227672851,Crédit Agricole
2012-07-01 00:00:00+02:00,1.8492848873138428,5.5942533085299075,Crédit Agricole
2012-08-01 00:00:00+02:00,2.4568846225738525,7.432297220832398,Crédit Agricole
2012-09-01 00:00:00+02:00,2.8446459770202637,8.605310235167236,Crédit Agricole
2012-10-01 00:00:00+02:00,3.076667547225952,9.307196378117798,Crédit Agricole
2012-11-01 00:00:00+01:00,3.087791919708252,9.340848606604249,Crédit Agricole
2012-12-01 00:00:00+01:00,3.2228732109069824,9.749481676280517,Crédit Agricole
2013-01-01 00:00:00+01:00,3.856428623199463,11.666043848863037,Crédit Agricole
2013-02-01 00:00:00+01:00,3.8140511512756348,11.537848180286865,Crédit Agricole
2013-03-01 00:00:00+01:00,3.4040398597717285,10.297527102790772,Crédit Agricole
2013-04-01 00:00:00+02:00,3.6821484565734863,11.138830651239013,Crédit Agricole
2013-05-01 00:00:00+02:00,3.865434408187866,11.693287159405884,Crédit Agricole
2013-06-01 00:00:00+02:00,3.4978017807006836,10.581165356674317,Crédit Agricole
2013-07-01 00:00:00+02:00,3.8023970127105713,11.502593361695679,Crédit Agricole
2013-08-01 00:00:00+02:00,4.049780368804932,12.250950290257569,Crédit Agricole
2013-09-01 00:00:00+02:00,4.3178229331970215,13.061803184240478,Crédit Agricole
2013-10-01 00:00:00+02:00,4.713000774383545,14.257251738803955,Crédit Agricole
2013-11-01 00:00:00+01:00,4.889401435852051,14.790879624272948,Crédit Agricole
2013-12-01 00:00:00+01:00,4.929131507873535,14.911066669751465,Crédit Agricole
2014-01-01 00:00:00+01:00,5.290406227111816,16.003955227513185,Crédit Agricole
2014-02-01 00:00:00+01:00,6.102481842041016,18.460557088458984,Crédit Agricole
2014-03-01 00:00:00+01:00,6.062751770019531,18.340370042980467,Crédit Agricole
2014-04-01 00:00:00+02:00,6.01507568359375,18.19614558840625,Crédit Agricole
2014-05-01 00:00:00+02:00,6.062751770019531,18.340370042980467,Crédit Agricole
2014-06-01 00:00:00+02:00,5.621695518493652,17.006135165881346,Crédit Agricole
2014-07-01 00:00:00+02:00,5.523451328277588,16.70893764378491,Crédit Agricole
2014-08-01 00:00:00+02:00,6.159303665161133,18.632448220088868,Crédit Agricole
2014-09-01 00:00:00+02:00,6.519528388977051,19.72216044714795,Crédit Agricole
2014-10-01 00:00:00+02:00,6.43765926361084,19.47449897076416,Crédit Agricole
2014-11-01 00:00:00+01:00,6.170219898223877,18.665470808088624,Crédit Agricole
2014-12-01 00:00:00+01:00,5.872760772705078,17.76563016779492,Crédit Agricole
2015-01-01 00:00:00+01:00,5.766331195831299,17.4436711139812,Crédit Agricole
2015-02-01 00:00:00+01:00,6.86065149307251,20.75408855448999,Crédit Agricole
2015-03-01 00:00:00+01:00,7.4637556076049805,22.57853280927002,Crédit Agricole
2015-04-01 00:00:00+02:00,7.589287757873535,22.958278867751464,Crédit Agricole
2015-05-01 00:00:00+02:00,7.420090675354004,22.446442457270997,Crédit Agricole
2015-06-01 00:00:00+02:00,7.463196277618408,22.576840785694092,Crédit Agricole
2015-07-01 00:00:00+02:00,8.025453567504883,24.277719717745118,Crédit Agricole
2015-08-01 00:00:00+02:00,6.761075019836426,20.452860756288572,Crédit Agricole
2015-09-01 00:00:00+02:00,5.7372636795043945,17.355739259620606,Crédit Agricole
2015-10-01 00:00:00+02:00,6.444979667663574,19.496643852211427,Crédit Agricole
2015-11-01 00:00:00+01:00,6.389034271240234,19.327403990259764,Crédit Agricole
2015-12-01 00:00:00+01:00,6.086925506591797,18.413497772908205,Crédit Agricole
2016-01-01 00:00:00+01:00,5.1447954177856445,15.563469417339356,Crédit Agricole
2016-02-01 00:00:00+01:00,5.362983703613281,16.223508629386718,Crédit Agricole
2016-03-01 00:00:00+01:00,5.324941158294678,16.108426504142823,Crédit Agricole
2016-04-01 00:00:00+02:00,5.403824806213379,16.347056642411623,Crédit Agricole
2016-05-01 00:00:00+02:00,5.049126625061035,15.274062704563965,Crédit Agricole
2016-06-01 00:00:00+02:00,4.510394096374512,13.644348293500489,Crédit Agricole
