Date,Stock Price,Market Cap (Billion USD),Company,Sector,Industry,PE_Ratio,PB_Ratio,Profit_Margin,ROE,ROA,Debt_to_Equity,Company_Age_Years,Market_Cap_Category
2004-10-01 00:00:00-04:00,5.281277179718018,1.7784647667426452,Digital Realty,Real Estate,REIT - Specialty,151.45284,2.6289155,0.07808,0.01849,0.00999,78.944,,Large Cap
2004-11-01 00:00:00-05:00,5.615758419036865,1.891100986926178,Digital Realty,Real Estate,REIT - Specialty,151.45284,2.6289155,0.07808,0.01849,0.00999,78.944,,Large Cap
2004-12-01 00:00:00-05:00,5.92823600769043,1.9963274999278564,Digital Realty,Real Estate,REIT - Specialty,151.45284,2.6289155,0.07808,0.01849,0.00999,78.944,,Large Cap
2005-01-01 00:00:00-05:00,6.144311428070068,2.069090679936676,Digital Realty,Real Estate,REIT - Specialty,151.45284,2.6289155,0.07808,0.01849,0.00999,78.944,,Large Cap
2005-02-01 00:00:00-05:00,6.380288600921631,2.1485557550294496,Digital Realty,Real Estate,REIT - Specialty,151.45284,2.6289155,0.07808,0.01849,0.00999,78.944,,Large Cap
2005-03-01 00:00:00-05:00,6.398101329803467,2.154554173525177,Digital Realty,Real Estate,REIT - Specialty,151.45284,2.6289155,0.07808,0.01849,0.00999,78.944,,Large Cap
2005-04-01 00:00:00-05:00,6.463791370391846,2.1766752284777526,Digital Realty,Real Estate,REIT - Specialty,151.45284,2.6289155,0.07808,0.01849,0.00999,78.944,,Large Cap
2005-05-01 00:00:00-04:00,6.7944536209106445,2.28802540803241,Digital Realty,Real Estate,REIT - Specialty,151.45284,2.6289155,0.07808,0.01849,0.00999,78.944,,Large Cap
2005-06-01 00:00:00-04:00,7.872511863708496,2.6510604346118773,Digital Realty,Real Estate,REIT - Specialty,151.45284,2.6289155,0.07808,0.01849,0.00999,78.944,,Large Cap
2005-07-01 00:00:00-04:00,8.711819648742676,2.9336964851998903,Digital Realty,Real Estate,REIT - Specialty,151.45284,2.6289155,0.07808,0.01849,0.00999,78.944,,Large Cap
2005-08-01 00:00:00-04:00,8.748620986938477,2.946089298741577,Digital Realty,Real Estate,REIT - Specialty,151.45284,2.6289155,0.07808,0.01849,0.00999,78.944,,Large Cap
2005-09-01 00:00:00-04:00,8.279448509216309,2.7880959397944944,Digital Realty,Real Estate,REIT - Specialty,151.45284,2.6289155,0.07808,0.01849,0.00999,78.944,,Large Cap
2005-10-01 00:00:00-04:00,8.937226295471191,3.0096019462758177,Digital Realty,Real Estate,REIT - Specialty,151.45284,2.6289155,0.07808,0.01849,0.00999,78.944,,Large Cap
2005-11-01 00:00:00-05:00,10.4749174118042,3.527417879708313,Digital Realty,Real Estate,REIT - Specialty,151.45284,2.6289155,0.07808,0.01849,0.00999,78.944,,Large Cap
2005-12-01 00:00:00-05:00,10.544808387756348,3.5509535954100953,Digital Realty,Real Estate,REIT - Specialty,151.45284,2.6289155,0.07808,0.01849,0.00999,78.944,,Large Cap
2006-01-01 00:00:00-05:00,12.202645301818848,4.109228505121033,Digital Realty,Real Estate,REIT - Specialty,151.45284,2.6289155,0.07808,0.01849,0.00999,78.944,,Large Cap
2006-02-01 00:00:00-05:00,13.013330459594727,4.382225914831421,Digital Realty,Real Estate,REIT - Specialty,151.45284,2.6289155,0.07808,0.01849,0.00999,78.944,,Large Cap
2006-03-01 00:00:00-05:00,13.277268409729004,4.471106753489685,Digital Realty,Real Estate,REIT - Specialty,151.45284,2.6289155,0.07808,0.01849,0.00999,78.944,,Large Cap
