Date,Stock Price,Market Cap (Billion USD),Company,Sector,Industry,PE_Ratio,PB_Ratio,Profit_Margin,ROE,ROA,Debt_to_Equity,Company_Age_Years,Market_Cap_Category
2000-01-01 00:00:00-05:00,6.088363170623779,2.3793079736270903,Equity Residential,Real Estate,REIT - Residential,25.830883,2.415512,0.33110002,0.08901,0.02643,70.333,,Large Cap
2000-02-01 00:00:00-05:00,5.859131813049316,2.2897252760124207,Equity Residential,Real Estate,REIT - Residential,25.830883,2.415512,0.33110002,0.08901,0.02643,70.333,,Large Cap
2000-03-01 00:00:00-05:00,5.895805835723877,2.3040573373775484,Equity Residential,Real Estate,REIT - Residential,25.830883,2.415512,0.33110002,0.08901,0.02643,70.333,,Large Cap
2000-04-01 00:00:00-05:00,6.806782245635986,2.660063274465561,Equity Residential,Real Estate,REIT - Residential,25.830883,2.415512,0.33110002,0.08901,0.02643,70.333,,Large Cap
2000-05-01 00:00:00-04:00,6.675882339477539,2.6089081147384645,Equity Residential,Real Estate,REIT - Residential,25.830883,2.415512,0.33110002,0.08901,0.02643,70.333,,Large Cap
2000-06-01 00:00:00-04:00,6.879244327545166,2.688381166227341,Equity Residential,Real Estate,REIT - Residential,25.830883,2.415512,0.33110002,0.08901,0.02643,70.333,,Large Cap
2000-07-01 00:00:00-04:00,7.582929611206055,2.9633785603408813,Equity Residential,Real Estate,REIT - Residential,25.830883,2.415512,0.33110002,0.08901,0.02643,70.333,,Large Cap
2000-08-01 00:00:00-04:00,7.297859191894531,2.851974180755615,Equity Residential,Real Estate,REIT - Residential,25.830883,2.415512,0.33110002,0.08901,0.02643,70.333,,Large Cap
2000-09-01 00:00:00-04:00,7.297859191894531,2.851974180755615,Equity Residential,Real Estate,REIT - Residential,25.830883,2.415512,0.33110002,0.08901,0.02643,70.333,,Large Cap
2000-10-01 00:00:00-04:00,7.275406837463379,2.8431998904533384,Equity Residential,Real Estate,REIT - Residential,25.830883,2.415512,0.33110002,0.08901,0.02643,70.333,,Large Cap
2000-11-01 00:00:00-05:00,7.884110450744629,3.081078827709198,Equity Residential,Real Estate,REIT - Residential,25.830883,2.415512,0.33110002,0.08901,0.02643,70.333,,Large Cap
2000-12-01 00:00:00-05:00,8.550775527954102,3.3416088732223512,Equity Residential,Real Estate,REIT - Residential,25.830883,2.415512,0.33110002,0.08901,0.02643,70.333,,Large Cap
2001-01-01 00:00:00-05:00,8.22065544128418,3.212599263832092,Equity Residential,Real Estate,REIT - Residential,25.830883,2.415512,0.33110002,0.08901,0.02643,70.333,,Large Cap
2001-02-01 00:00:00-05:00,8.176716804504395,3.1954282203330995,Equity Residential,Real Estate,REIT - Residential,25.830883,2.415512,0.33110002,0.08901,0.02643,70.333,,Large Cap
2001-03-01 00:00:00-05:00,8.165730476379395,3.191134807247162,Equity Residential,Real Estate,REIT - Residential,25.830883,2.415512,0.33110002,0.08901,0.02643,70.333,,Large Cap
2001-04-01 00:00:00-05:00,8.36638069152832,3.2695481087265015,Equity Residential,Real Estate,REIT - Residential,25.830883,2.415512,0.33110002,0.08901,0.02643,70.333,,Large Cap
2001-05-01 00:00:00-04:00,8.551275253295898,3.3418041638870237,Equity Residential,Real Estate,REIT - Residential,25.830883,2.415512,0.33110002,0.08901,0.02643,70.333,,Large Cap
2001-06-01 00:00:00-04:00,9.013504028320312,3.522441320251465,Equity Residential,Real Estate,REIT - Residential,25.830883,2.415512,0.33110002,0.08901,0.02643,70.333,,Large Cap
2001-07-01 00:00:00-04:00,9.168693542480469,3.5830887616271974,Equity Residential,Real Estate,REIT - Residential,25.830883,2.415512,0.33110002,0.08901,0.02643,70.333,,Large Cap
2001-08-01 00:00:00-04:00,9.52606201171875,3.7227469299316405,Equity Residential,Real Estate,REIT - Residential,25.830883,2.415512,0.33110002,0.08901,0.02643,70.333,,Large Cap
2001-09-01 00:00:00-04:00,9.443586349487305,3.690515771034241,Equity Residential,Real Estate,REIT - Residential,25.830883,2.415512,0.33110002,0.08901,0.02643,70.333,,Large Cap
2001-10-01 00:00:00-04:00,8.52023696899414,3.329674526535034,Equity Residential,Real Estate,REIT - Residential,25.830883,2.415512,0.33110002,0.08901,0.02643,70.333,,Large Cap
2001-11-01 00:00:00-05:00,9.505232810974121,3.7146069615974424,Equity Residential,Real Estate,REIT - Residential,25.830883,2.415512,0.33110002,0.08901,0.02643,70.333,,Large Cap
2001-12-01 00:00:00-05:00,9.426434516906738,3.683812903469086,Equity Residential,Real Estate,REIT - Residential,25.830883,2.415512,0.33110002,0.08901,0.02643,70.333,,Large Cap
2002-01-01 00:00:00-05:00,8.927205085754395,3.4887160386924743,Equity Residential,Real Estate,REIT - Residential,25.830883,2.415512,0.33110002,0.08901,0.02643,70.333,,Large Cap
2002-02-01 00:00:00-05:00,8.98387336730957,3.5108617764511107,Equity Residential,Real Estate,REIT - Residential,25.830883,2.415512,0.33110002,0.08901,0.02643,70.333,,Large Cap
2002-03-01 00:00:00-05:00,9.580575942993164,3.7440507562179564,Equity Residential,Real Estate,REIT - Residential,25.830883,2.415512,0.33110002,0.08901,0.02643,70.333,,Large Cap
2002-04-01 00:00:00-05:00,9.542312622070312,3.7290976034545897,Equity Residential,Real Estate,REIT - Residential,25.830883,2.415512,0.33110002,0.08901,0.02643,70.333,,Large Cap
2002-05-01 00:00:00-04:00,9.792710304260254,3.8269520160636903,Equity Residential,Real Estate,REIT - Residential,25.830883,2.415512,0.33110002,0.08901,0.02643,70.333,,Large Cap
