Date,Stock Price,Market Cap (Billion USD),Company,Sector,Industry,PE_Ratio,PB_Ratio,Profit_Margin,ROE,ROA,Debt_to_Equity,Company_Age_Years,Market_Cap_Category
2000-01-01 00:00:00+01:00,11.119443893432617,16.800701895637452,Generali,Financial Services,Insurance - Diversified,13.012145,1.6095753,0.06734,0.13038,0.00858,113.44,,Large Cap
2000-02-01 00:00:00+01:00,10.899526596069336,16.468422242976317,Generali,Financial Services,Insurance - Diversified,13.012145,1.6095753,0.06734,0.13038,0.00858,113.44,,Large Cap
2000-03-01 00:00:00+01:00,11.181175231933594,16.893973629881835,Generali,Financial Services,Insurance - Diversified,13.012145,1.6095753,0.06734,0.13038,0.00858,113.44,,Large Cap
2000-04-01 00:00:00+02:00,12.076289176940918,18.246428185777223,Generali,Financial Services,Insurance - Diversified,13.012145,1.6095753,0.06734,0.13038,0.00858,113.44,,Large Cap
2000-05-01 00:00:00+02:00,12.462109565734863,18.829375804337037,Generali,Financial Services,Insurance - Diversified,13.012145,1.6095753,0.06734,0.13038,0.00858,113.44,,Large Cap
2000-06-01 00:00:00+02:00,13.851075172424316,20.92800567512268,Generali,Financial Services,Insurance - Diversified,13.012145,1.6095753,0.06734,0.13038,0.00858,113.44,,Large Cap
2000-07-01 00:00:00+02:00,13.735329627990723,20.753122254115844,Generali,Financial Services,Insurance - Diversified,13.012145,1.6095753,0.06734,0.13038,0.00858,113.44,,Large Cap
2000-08-01 00:00:00+02:00,13.318638801574707,20.123531563757936,Generali,Financial Services,Insurance - Diversified,13.012145,1.6095753,0.06734,0.13038,0.00858,113.44,,Large Cap
2000-09-01 00:00:00+02:00,14.005407333374023,21.161190774474367,Generali,Financial Services,Insurance - Diversified,13.012145,1.6095753,0.06734,0.13038,0.00858,113.44,,Large Cap
2000-10-01 00:00:00+02:00,14.958389282226562,22.601079836197265,Generali,Financial Services,Insurance - Diversified,13.012145,1.6095753,0.06734,0.13038,0.00858,113.44,,Large Cap
2000-11-01 00:00:00+01:00,16.24704360961914,24.54814638093994,Generali,Financial Services,Insurance - Diversified,13.012145,1.6095753,0.06734,0.13038,0.00858,113.44,,Large Cap
2000-12-01 00:00:00+01:00,16.216176986694336,24.50150907288257,Generali,Financial Services,Insurance - Diversified,13.012145,1.6095753,0.06734,0.13038,0.00858,113.44,,Large Cap
2001-01-01 00:00:00+01:00,15.305631637573242,23.12573874482886,Generali,Financial Services,Insurance - Diversified,13.012145,1.6095753,0.06734,0.13038,0.00858,113.44,,Large Cap
2001-02-01 00:00:00+01:00,14.642014503479004,22.123059676558228,Generali,Financial Services,Insurance - Diversified,13.012145,1.6095753,0.06734,0.13038,0.00858,113.44,,Large Cap
2001-03-01 00:00:00+01:00,13.812492370605469,20.869709760518553,Generali,Financial Services,Insurance - Diversified,13.012145,1.6095753,0.06734,0.13038,0.00858,113.44,,Large Cap
2001-04-01 00:00:00+02:00,14.02469539642334,21.190333688503294,Generali,Financial Services,Insurance - Diversified,13.012145,1.6095753,0.06734,0.13038,0.00858,113.44,,Large Cap
2001-05-01 00:00:00+02:00,12.901947021484375,19.493939432464845,Generali,Financial Services,Insurance - Diversified,13.012145,1.6095753,0.06734,0.13038,0.00858,113.44,,Large Cap
2001-06-01 00:00:00+02:00,13.762337684631348,20.793929538432252,Generali,Financial Services,Insurance - Diversified,13.012145,1.6095753,0.06734,0.13038,0.00858,113.44,,Large Cap
2001-07-01 00:00:00+02:00,14.086430549621582,21.283611186488404,Generali,Financial Services,Insurance - Diversified,13.012145,1.6095753,0.06734,0.13038,0.00858,113.44,,Large Cap
2001-08-01 00:00:00+02:00,13.46139144897461,20.339220828145997,Generali,Financial Services,Insurance - Diversified,13.012145,1.6095753,0.06734,0.13038,0.00858,113.44,,Large Cap
2001-09-01 00:00:00+02:00,11.32778549194336,17.115491477075683,Generali,Financial Services,Insurance - Diversified,13.012145,1.6095753,0.06734,0.13038,0.00858,113.44,,Large Cap
2001-10-01 00:00:00+02:00,11.748336791992188,17.750915073044922,Generali,Financial Services,Insurance - Diversified,13.012145,1.6095753,0.06734,0.13038,0.00858,113.44,,Large Cap
2001-11-01 00:00:00+01:00,11.825501441955566,17.867505461317993,Generali,Financial Services,Insurance - Diversified,13.012145,1.6095753,0.06734,0.13038,0.00858,113.44,,Large Cap
2001-12-01 00:00:00+01:00,13.241475105285645,20.006942616420044,Generali,Financial Services,Insurance - Diversified,13.012145,1.6095753,0.06734,0.13038,0.00858,113.44,,Large Cap
2002-01-01 00:00:00+01:00,11.671170234680176,17.63432180290149,Generali,Financial Services,Insurance - Diversified,13.012145,1.6095753,0.06734,0.13038,0.00858,113.44,,Large Cap
2002-02-01 00:00:00+01:00,11.04613971710205,16.68994441297571,Generali,Financial Services,Insurance - Diversified,13.012145,1.6095753,0.06734,0.13038,0.00858,113.44,,Large Cap
2002-03-01 00:00:00+01:00,10.914958953857422,16.491739456069823,Generali,Financial Services,Insurance - Diversified,13.012145,1.6095753,0.06734,0.13038,0.00858,113.44,,Large Cap
2002-04-01 00:00:00+02:00,10.340079307556152,15.623136524489624,Generali,Financial Services,Insurance - Diversified,13.012145,1.6095753,0.06734,0.13038,0.00858,113.44,,Large Cap
2002-05-01 00:00:00+02:00,9.645598411560059,14.573824470967162,Generali,Financial Services,Insurance - Diversified,13.012145,1.6095753,0.06734,0.13038,0.00858,113.44,,Large Cap
2002-06-01 00:00:00+02:00,9.331283569335938,14.09891673131836,Generali,Financial Services,Insurance - Diversified,13.012145,1.6095753,0.06734,0.13038,0.00858,113.44,,Large Cap
2002-07-01 00:00:00+02:00,7.690011501312256,11.619069446798278,Generali,Financial Services,Insurance - Diversified,13.012145,1.6095753,0.06734,0.13038,0.00858,113.44,,Large Cap
2002-08-01 00:00:00+02:00,7.569706439971924,11.437296914692688,Generali,Financial Services,Insurance - Diversified,13.012145,1.6095753,0.06734,0.13038,0.00858,113.44,,Large Cap
