Date,Stock Price,Market Cap (Billion USD),Company,Sector,Industry,PE_Ratio,PB_Ratio,Profit_Margin,ROE,ROA,Debt_to_Equity,Company_Age_Years,Market_Cap_Category
2000-01-01 00:00:00+01:00,57.104583740234375,80.52260157259374,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2000-02-01 00:00:00+01:00,61.22881317138672,86.33813618517969,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2000-03-01 00:00:00+01:00,50.75963592529297,71.57565420974218,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2000-04-01 00:00:00+02:00,51.28839111328125,72.3212466043125,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2000-05-01 00:00:00+02:00,48.286373138427734,68.0881311261836,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2000-06-01 00:00:00+02:00,39.13960266113281,55.190361690203126,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2000-07-01 00:00:00+02:00,39.671409606933594,55.94025733789844,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2000-08-01 00:00:00+02:00,35.20437240600586,49.641332922714845,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2000-09-01 00:00:00+02:00,41.05405044555664,57.88990533591016,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2000-10-01 00:00:00+02:00,39.2459716796875,55.340351577875,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2000-11-01 00:00:00+01:00,35.948883056640625,50.69115993415625,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2000-12-01 00:00:00+01:00,31.056432723999023,43.79236472288086,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2001-01-01 00:00:00+01:00,43.28757095336914,61.03937023303516,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2001-02-01 00:00:00+01:00,40.4158935546875,56.990046695875,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2001-03-01 00:00:00+01:00,31.056432723999023,43.79236472288086,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2001-04-01 00:00:00+02:00,36.799747467041016,51.89095531700391,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2001-05-01 00:00:00+02:00,36.89070129394531,52.01920839732813,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2001-06-01 00:00:00+02:00,40.1079216003418,56.55577852769922,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2001-07-01 00:00:00+02:00,42.359962463378906,59.731358792226565,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2001-08-01 00:00:00+02:00,42.46720886230469,59.882585865171876,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2001-09-01 00:00:00+02:00,36.997947692871094,52.17043547027344,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2001-10-01 00:00:00+02:00,40.00067138671875,56.4045460756875,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2001-11-01 00:00:00+01:00,45.684417724609375,64.41913985834375,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2001-12-01 00:00:00+01:00,46.54233932495117,65.62888651404297,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2002-01-01 00:00:00+01:00,41.18031311035156,58.067947054890624,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2002-02-01 00:00:00+01:00,38.928279876708984,54.89237754849609,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2002-03-01 00:00:00+01:00,45.255455017089844,63.81426384096094,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2002-04-01 00:00:00+02:00,43.754093170166016,61.6972085382539,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2002-05-01 00:00:00+02:00,39.15446472167969,55.21131853292187,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2002-06-01 00:00:00+02:00,39.80343246459961,56.126421447152346,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2002-07-01 00:00:00+02:00,37.74836349487305,53.22858927651172,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2002-08-01 00:00:00+02:00,37.31572341918945,52.618527839113284,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2002-09-01 00:00:00+02:00,34.8280029296875,49.110618093875,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2002-10-01 00:00:00+02:00,38.50550842285156,54.296231755890624,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2002-11-01 00:00:00+01:00,41.317691802978516,58.26166337337891,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2002-12-01 00:00:00+01:00,36.34225845336914,51.24585464103516,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2003-01-01 00:00:00+01:00,38.7218132019043,54.60124095832422,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2003-02-01 00:00:00+01:00,38.82998275756836,54.75376976533985,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2003-03-01 00:00:00+01:00,38.50550842285156,54.296231755890624,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2003-04-01 00:00:00+02:00,39.37078094482422,55.516343872554685,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2003-05-01 00:00:00+02:00,40.016136169433594,56.426352810898436,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2003-06-01 00:00:00+02:00,41.133914947509766,58.002521470191404,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2003-07-01 00:00:00+02:00,39.12192153930664,55.165429717410156,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2003-08-01 00:00:00+02:00,39.34548568725586,55.48067528321484,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2003-09-01 00:00:00+02:00,39.23369216918945,55.32303636311328,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2003-10-01 00:00:00+02:00,36.99816131591797,52.17073669799219,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2003-11-01 00:00:00+01:00,39.45726013183594,55.63828730798438,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2003-12-01 00:00:00+01:00,38.22770690917969,53.904506623921876,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2004-01-01 00:00:00+01:00,40.4632453918457,57.056817047175784,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2004-02-01 00:00:00+01:00,44.48720932006836,62.730968278339844,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2004-03-01 00:00:00+01:00,45.38144302368164,63.99191826716016,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2004-04-01 00:00:00+02:00,41.80458068847656,58.94822051414062,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
