Date,Stock Price,Market Cap (Billion USD),Company,Sector,Industry,PE_Ratio,PB_Ratio,Profit_Margin,ROE,ROA,Debt_to_Equity,Company_Age_Years,Market_Cap_Category
2002-08-01 00:00:00+05:30,14.615777969360352,39.59282826824219,HCL Technologies,Technology,Information Technology Services,24.450163,521.1104,0.14747,0.25,0.13012,9.018,,Mega Cap
2002-09-01 00:00:00+05:30,15.107754707336426,40.925549012871095,HCL Technologies,Technology,Information Technology Services,24.450163,521.1104,0.14747,0.25,0.13012,9.018,,Mega Cap
2002-10-01 00:00:00+05:30,11.732122421264648,31.78126468675781,HCL Technologies,Technology,Information Technology Services,24.450163,521.1104,0.14747,0.25,0.13012,9.018,,Mega Cap
2002-11-01 00:00:00+05:30,13.530076026916504,36.65175933248047,HCL Technologies,Technology,Information Technology Services,24.450163,521.1104,0.14747,0.25,0.13012,9.018,,Mega Cap
2002-12-01 00:00:00+05:30,13.5192289352417,36.62237553650391,HCL Technologies,Technology,Information Technology Services,24.450163,521.1104,0.14747,0.25,0.13012,9.018,,Mega Cap
2003-01-01 00:00:00+05:30,11.72847843170166,31.771393446699218,HCL Technologies,Technology,Information Technology Services,24.450163,521.1104,0.14747,0.25,0.13012,9.018,,Mega Cap
2003-02-01 00:00:00+05:30,12.70524787902832,34.417374048398436,HCL Technologies,Technology,Information Technology Services,24.450163,521.1104,0.14747,0.25,0.13012,9.018,,Mega Cap
2003-03-01 00:00:00+05:30,10.928973197937012,29.605605659941407,HCL Technologies,Technology,Information Technology Services,24.450163,521.1104,0.14747,0.25,0.13012,9.018,,Mega Cap
2003-04-01 00:00:00+05:30,9.764084815979004,26.45002777998047,HCL Technologies,Technology,Information Technology Services,24.450163,521.1104,0.14747,0.25,0.13012,9.018,,Mega Cap
2003-05-01 00:00:00+05:30,8.932021141052246,24.196042103769532,HCL Technologies,Technology,Information Technology Services,24.450163,521.1104,0.14747,0.25,0.13012,9.018,,Mega Cap
2003-06-01 00:00:00+05:30,11.17497730255127,30.272008658652343,HCL Technologies,Technology,Information Technology Services,24.450163,521.1104,0.14747,0.25,0.13012,9.018,,Mega Cap
2003-07-01 00:00:00+05:30,11.822538375854492,32.026193377539066,HCL Technologies,Technology,Information Technology Services,24.450163,521.1104,0.14747,0.25,0.13012,9.018,,Mega Cap
2003-08-01 00:00:00+05:30,13.388984680175781,36.26955556109375,HCL Technologies,Technology,Information Technology Services,24.450163,521.1104,0.14747,0.25,0.13012,9.018,,Mega Cap
2003-09-01 00:00:00+05:30,12.484574317932129,33.81958921435547,HCL Technologies,Technology,Information Technology Services,24.450163,521.1104,0.14747,0.25,0.13012,9.018,,Mega Cap
2003-10-01 00:00:00+05:30,15.697054862976074,42.521910144628905,HCL Technologies,Technology,Information Technology Services,24.450163,521.1104,0.14747,0.25,0.13012,9.018,,Mega Cap
2003-11-01 00:00:00+05:30,19.489089965820312,52.7941922584375,HCL Technologies,Technology,Information Technology Services,24.450163,521.1104,0.14747,0.25,0.13012,9.018,,Mega Cap
