Date,Stock Price,Market Cap (Billion USD),Company,Sector,Industry,PE_Ratio,PB_Ratio,Profit_Margin,ROE,ROA,Debt_to_Equity,Company_Age_Years,Market_Cap_Category
2018-04-01 00:00:00+05:30,465.68524169921875,311.43863634094924,Hindustan Aeronautics,Industrials,Aerospace & Defense,34.48252,9.618343,0.27133,,,0.004,,Mega Cap
2018-05-01 00:00:00+05:30,437.8315124511719,292.8107592315762,Hindustan Aeronautics,Industrials,Aerospace & Defense,34.48252,9.618343,0.27133,,,0.004,,Mega Cap
2018-06-01 00:00:00+05:30,349.7350158691406,233.89402684424414,Hindustan Aeronautics,Industrials,Aerospace & Defense,34.48252,9.618343,0.27133,,,0.004,,Mega Cap
2018-07-01 00:00:00+05:30,401.1764221191406,268.2967520744941,Hindustan Aeronautics,Industrials,Aerospace & Defense,34.48252,9.618343,0.27133,,,0.004,,Mega Cap
2018-08-01 00:00:00+05:30,369.55364990234375,247.14823334415235,Hindustan Aeronautics,Industrials,Aerospace & Defense,34.48252,9.618343,0.27133,,,0.004,,Mega Cap
2018-09-01 00:00:00+05:30,322.9789123535156,216.0002143577285,Hindustan Aeronautics,Industrials,Aerospace & Defense,34.48252,9.618343,0.27133,,,0.004,,Mega Cap
2018-10-01 00:00:00+05:30,315.0265197753906,210.6818532021504,Hindustan Aeronautics,Industrials,Aerospace & Defense,34.48252,9.618343,0.27133,,,0.004,,Mega Cap
2018-11-01 00:00:00+05:30,327.3277587890625,218.90861402828907,Hindustan Aeronautics,Industrials,Aerospace & Defense,34.48252,9.618343,0.27133,,,0.004,,Mega Cap
2018-12-01 00:00:00+05:30,334.1824951171875,223.4928901516172,Hindustan Aeronautics,Industrials,Aerospace & Defense,34.48252,9.618343,0.27133,,,0.004,,Mega Cap
2019-01-01 00:00:00+05:30,294.4418029785156,196.91530972035352,Hindustan Aeronautics,Industrials,Aerospace & Defense,34.48252,9.618343,0.27133,,,0.004,,Mega Cap
2019-02-01 00:00:00+05:30,270.3778381347656,180.82193220950975,Hindustan Aeronautics,Industrials,Aerospace & Defense,34.48252,9.618343,0.27133,,,0.004,,Mega Cap
2019-03-01 00:00:00+05:30,292.5987548828125,195.68272527438282,Hindustan Aeronautics,Industrials,Aerospace & Defense,34.48252,9.618343,0.27133,,,0.004,,Mega Cap
2019-04-01 00:00:00+05:30,284.2196044921875,190.0789591729922,Hindustan Aeronautics,Industrials,Aerospace & Defense,34.48252,9.618343,0.27133,,,0.004,,Mega Cap
2019-05-01 00:00:00+05:30,302.28521728515625,202.16078893503516,Hindustan Aeronautics,Industrials,Aerospace & Defense,34.48252,9.618343,0.27133,,,0.004,,Mega Cap
2019-06-01 00:00:00+05:30,304.07269287109375,203.3562078771211,Hindustan Aeronautics,Industrials,Aerospace & Defense,34.48252,9.618343,0.27133,,,0.004,,Mega Cap
2019-07-01 00:00:00+05:30,281.4108581542969,188.2005399082793,Hindustan Aeronautics,Industrials,Aerospace & Defense,34.48252,9.618343,0.27133,,,0.004,,Mega Cap
2019-08-01 00:00:00+05:30,276.6444396972656,185.01287851907227,Hindustan Aeronautics,Industrials,Aerospace & Defense,34.48252,9.618343,0.27133,,,0.004,,Mega Cap
2019-09-01 00:00:00+05:30,300.5829772949219,201.02237342641993,Hindustan Aeronautics,Industrials,Aerospace & Defense,34.48252,9.618343,0.27133,,,0.004,,Mega Cap
2019-10-01 00:00:00+05:30,324.649169921875,217.11724082292187,Hindustan Aeronautics,Industrials,Aerospace & Defense,34.48252,9.618343,0.27133,,,0.004,,Mega Cap
2019-11-01 00:00:00+05:30,329.7986755371094,220.5611013171621,Hindustan Aeronautics,Industrials,Aerospace & Defense,34.48252,9.618343,0.27133,,,0.004,,Mega Cap
2019-12-01 00:00:00+05:30,310.83935546875,207.88158249346876,Hindustan Aeronautics,Industrials,Aerospace & Defense,34.48252,9.618343,0.27133,,,0.004,,Mega Cap
2020-01-01 00:00:00+05:30,342.2041015625,228.8575398095625,Hindustan Aeronautics,Industrials,Aerospace & Defense,34.48252,9.618343,0.27133,,,0.004,,Mega Cap
2020-02-01 00:00:00+05:30,291.9651184082031,195.25896505628322,Hindustan Aeronautics,Industrials,Aerospace & Defense,34.48252,9.618343,0.27133,,,0.004,,Mega Cap
2020-03-01 00:00:00+05:30,221.42616271972656,148.08427665865722,Hindustan Aeronautics,Industrials,Aerospace & Defense,34.48252,9.618343,0.27133,,,0.004,,Mega Cap
2020-04-01 00:00:00+05:30,238.36534118652344,159.41277533124904,Hindustan Aeronautics,Industrials,Aerospace & Defense,34.48252,9.618343,0.27133,,,0.004,,Mega Cap
2020-05-01 00:00:00+05:30,251.47853088378906,168.18254845632129,Hindustan Aeronautics,Industrials,Aerospace & Defense,34.48252,9.618343,0.27133,,,0.004,,Mega Cap
2020-06-01 00:00:00+05:30,349.1488037109375,233.50198282221095,Hindustan Aeronautics,Industrials,Aerospace & Defense,34.48252,9.618343,0.27133,,,0.004,,Mega Cap
2020-07-01 00:00:00+05:30,394.5022277832031,263.8332179176582,Hindustan Aeronautics,Industrials,Aerospace & Defense,34.48252,9.618343,0.27133,,,0.004,,Mega Cap
2020-08-01 00:00:00+05:30,418.7841491699219,280.0723593102949,Hindustan Aeronautics,Industrials,Aerospace & Defense,34.48252,9.618343,0.27133,,,0.004,,Mega Cap
2020-09-01 00:00:00+05:30,364.50018310546875,243.76860120835548,Hindustan Aeronautics,Industrials,Aerospace & Defense,34.48252,9.618343,0.27133,,,0.004,,Mega Cap
2020-10-01 00:00:00+05:30,310.6911315917969,207.7824540737168,Hindustan Aeronautics,Industrials,Aerospace & Defense,34.48252,9.618343,0.27133,,,0.004,,Mega Cap
2020-11-01 00:00:00+05:30,370.1072692871094,247.5184801349121,Hindustan Aeronautics,Industrials,Aerospace & Defense,34.48252,9.618343,0.27133,,,0.004,,Mega Cap
