Date,Stock Price,Market Cap (Billion USD),Company,Sector,Industry,PE_Ratio,PB_Ratio,Profit_Margin,ROE,ROA,Debt_to_Equity,Company_Age_Years,Market_Cap_Category
2001-07-01 00:00:00+05:30,1.9411742687225342,3.85953970872879,Kotak Mahindra Bank,Financial Services,Banks - Regional,19.723986,2.980033,0.30782,,,,,Mega Cap
2001-08-01 00:00:00+05:30,1.9920142889022827,3.960622378037735,Kotak Mahindra Bank,Financial Services,Banks - Regional,19.723986,2.980033,0.30782,,,,,Mega Cap
2001-09-01 00:00:00+05:30,1.851048231124878,3.6803466159172666,Kotak Mahindra Bank,Financial Services,Banks - Regional,19.723986,2.980033,0.30782,,,,,Mega Cap
2001-10-01 00:00:00+05:30,1.8002076148986816,3.579262761518982,Kotak Mahindra Bank,Financial Services,Banks - Regional,19.723986,2.980033,0.30782,,,,,Mega Cap
2001-11-01 00:00:00+05:30,2.2277276515960693,4.4292794676422425,Kotak Mahindra Bank,Financial Services,Banks - Regional,19.723986,2.980033,0.30782,,,,,Mega Cap
2001-12-01 00:00:00+05:30,2.3409628868103027,4.654419422245178,Kotak Mahindra Bank,Financial Services,Banks - Regional,19.723986,2.980033,0.30782,,,,,Mega Cap
2002-01-01 00:00:00+05:30,3.547264575958252,7.052848736392761,Kotak Mahindra Bank,Financial Services,Banks - Regional,19.723986,2.980033,0.30782,,,,,Mega Cap
2002-02-01 00:00:00+05:30,5.145716667175293,10.23097108117981,Kotak Mahindra Bank,Financial Services,Banks - Regional,19.723986,2.980033,0.30782,,,,,Mega Cap
2002-03-01 00:00:00+05:30,6.722631454467773,13.366271881783447,Kotak Mahindra Bank,Financial Services,Banks - Regional,19.723986,2.980033,0.30782,,,,,Mega Cap
2002-04-01 00:00:00+05:30,8.574613571166992,17.048475295678955,Kotak Mahindra Bank,Financial Services,Banks - Regional,19.723986,2.980033,0.30782,,,,,Mega Cap
2002-05-01 00:00:00+05:30,6.476015090942383,12.87593690094995,Kotak Mahindra Bank,Financial Services,Banks - Regional,19.723986,2.980033,0.30782,,,,,Mega Cap
2002-06-01 00:00:00+05:30,7.728061676025391,15.365318503708496,Kotak Mahindra Bank,Financial Services,Banks - Regional,19.723986,2.980033,0.30782,,,,,Mega Cap
2002-07-01 00:00:00+05:30,7.597640037536621,15.106007683069945,Kotak Mahindra Bank,Financial Services,Banks - Regional,19.723986,2.980033,0.30782,,,,,Mega Cap
2002-08-01 00:00:00+05:30,7.592898368835449,15.096580060350709,Kotak Mahindra Bank,Financial Services,Banks - Regional,19.723986,2.980033,0.30782,,,,,Mega Cap
2002-09-01 00:00:00+05:30,7.118638038635254,14.153631966418335,Kotak Mahindra Bank,Financial Services,Banks - Regional,19.723986,2.980033,0.30782,,,,,Mega Cap
2002-10-01 00:00:00+05:30,6.611941814422607,13.14619320673468,Kotak Mahindra Bank,Financial Services,Banks - Regional,19.723986,2.980033,0.30782,,,,,Mega Cap
2002-11-01 00:00:00+05:30,7.467886924743652,14.848026058635377,Kotak Mahindra Bank,Financial Services,Banks - Regional,19.723986,2.980033,0.30782,,,,,Mega Cap
