Date,Stock Price,Market Cap (Billion USD),Company,Sector,Industry,PE_Ratio,PB_Ratio,Profit_Margin,ROE,ROA,Debt_to_Equity,Company_Age_Years,Market_Cap_Category
2000-01-01 00:00:00-05:00,6.2574896812438965,0.2220457698410034,Lennox,Industrials,Building Products & Equipment,24.332443,22.76323,0.1496,1.3148301,0.19844,174.757,,Large Cap
2000-02-01 00:00:00-05:00,6.176225185394287,0.2191621154586792,Lennox,Industrials,Building Products & Equipment,24.332443,22.76323,0.1496,1.3148301,0.19844,174.757,,Large Cap
2000-03-01 00:00:00-05:00,5.68862771987915,0.20185981691436766,Lennox,Industrials,Building Products & Equipment,24.332443,22.76323,0.1496,1.3148301,0.19844,174.757,,Large Cap
2000-04-01 00:00:00-05:00,5.5397868156433105,0.19657822719573975,Lennox,Industrials,Building Products & Equipment,24.332443,22.76323,0.1496,1.3148301,0.19844,174.757,,Large Cap
2000-05-01 00:00:00-04:00,7.714669227600098,0.27375349460754395,Lennox,Industrials,Building Products & Equipment,24.332443,22.76323,0.1496,1.3148301,0.19844,174.757,,Large Cap
2000-06-01 00:00:00-04:00,8.772379875183105,0.31128614539489746,Lennox,Industrials,Building Products & Equipment,24.332443,22.76323,0.1496,1.3148301,0.19844,174.757,,Large Cap
2000-07-01 00:00:00-04:00,8.730999946594238,0.30981778690490724,Lennox,Industrials,Building Products & Equipment,24.332443,22.76323,0.1496,1.3148301,0.19844,174.757,,Large Cap
2000-08-01 00:00:00-04:00,9.144798278808594,0.3245013379638672,Lennox,Industrials,Building Products & Equipment,24.332443,22.76323,0.1496,1.3148301,0.19844,174.757,,Large Cap
2000-09-01 00:00:00-04:00,6.250655651092529,0.2218032656478882,Lennox,Industrials,Building Products & Equipment,24.332443,22.76323,0.1496,1.3148301,0.19844,174.757,,Large Cap
2000-10-01 00:00:00-04:00,5.292223930358887,0.18779350772399903,Lennox,Industrials,Building Products & Equipment,24.332443,22.76323,0.1496,1.3148301,0.19844,174.757,,Large Cap
2000-11-01 00:00:00-05:00,4.667157173156738,0.16561313885803222,Lennox,Industrials,Building Products & Equipment,24.332443,22.76323,0.1496,1.3148301,0.19844,174.757,,Large Cap
2000-12-01 00:00:00-05:00,5.16721248626709,0.18335750163269043,Lennox,Industrials,Building Products & Equipment,24.332443,22.76323,0.1496,1.3148301,0.19844,174.757,,Large Cap
2001-01-01 00:00:00-05:00,7.0201826095581055,0.24910977586364746,Lennox,Industrials,Building Products & Equipment,24.332443,22.76323,0.1496,1.3148301,0.19844,174.757,,Large Cap
2001-02-01 00:00:00-05:00,8.040441513061523,0.28531345900268557,Lennox,Industrials,Building Products & Equipment,24.332443,22.76323,0.1496,1.3148301,0.19844,174.757,,Large Cap
2001-03-01 00:00:00-05:00,6.959376335144043,0.24695207737731933,Lennox,Industrials,Building Products & Equipment,24.332443,22.76323,0.1496,1.3148301,0.19844,174.757,,Large Cap
2001-04-01 00:00:00-05:00,7.282332420349121,0.25841210946960447,Lennox,Industrials,Building Products & Equipment,24.332443,22.76323,0.1496,1.3148301,0.19844,174.757,,Large Cap
2001-05-01 00:00:00-04:00,6.239076137542725,0.22139236892547606,Lennox,Industrials,Building Products & Equipment,24.332443,22.76323,0.1496,1.3148301,0.19844,174.757,,Large Cap
2001-06-01 00:00:00-04:00,7.535265922546387,0.26738740420837404,Lennox,Industrials,Building Products & Equipment,24.332443,22.76323,0.1496,1.3148301,0.19844,174.757,,Large Cap
2001-07-01 00:00:00-04:00,6.454867362976074,0.2290496774017334,Lennox,Industrials,Building Products & Equipment,24.332443,22.76323,0.1496,1.3148301,0.19844,174.757,,Large Cap
2001-08-01 00:00:00-04:00,6.909049987792969,0.24516625700683595,Lennox,Industrials,Building Products & Equipment,24.332443,22.76323,0.1496,1.3148301,0.19844,174.757,,Large Cap
