Date,Stock Price,Market Cap (Billion USD),Company,Sector,Industry,PE_Ratio,PB_Ratio,Profit_Margin,ROE,ROA,Debt_to_Equity,Company_Age_Years,Market_Cap_Category
2008-04-01 00:00:00+09:00,790.2724609375,1192.7345297635,MS&amp;AD Insurance,Financial Services,Insurance - Property & Casualty,10.900569,1.1895351,0.10762,0.17593999,0.020750001,13.882,,Mega Cap
2008-05-01 00:00:00+09:00,792.181396484375,1195.615628946875,MS&amp;AD Insurance,Financial Services,Insurance - Property & Casualty,10.900569,1.1895351,0.10762,0.17593999,0.020750001,13.882,,Mega Cap
2008-06-01 00:00:00+09:00,698.6466674804688,1054.4464670065938,MS&amp;AD Insurance,Financial Services,Insurance - Property & Casualty,10.900569,1.1895351,0.10762,0.17593999,0.020750001,13.882,,Mega Cap
2008-07-01 00:00:00+09:00,687.1934814453125,1037.1605167360624,MS&amp;AD Insurance,Financial Services,Insurance - Property & Casualty,10.900569,1.1895351,0.10762,0.17593999,0.020750001,13.882,,Mega Cap
2008-08-01 00:00:00+09:00,689.1023559570312,1040.0415238009064,MS&amp;AD Insurance,Financial Services,Insurance - Property & Casualty,10.900569,1.1895351,0.10762,0.17593999,0.020750001,13.882,,Mega Cap
2008-09-01 00:00:00+09:00,666.196044921875,1005.469715378375,MS&amp;AD Insurance,Financial Services,Insurance - Property & Casualty,10.900569,1.1895351,0.10762,0.17593999,0.020750001,13.882,,Mega Cap
2008-10-01 00:00:00+09:00,514.3764038085938,776.3328832062188,MS&amp;AD Insurance,Financial Services,Insurance - Property & Casualty,10.900569,1.1895351,0.10762,0.17593999,0.020750001,13.882,,Mega Cap
2008-11-01 00:00:00+09:00,436.4989318847656,658.7947499097031,MS&amp;AD Insurance,Financial Services,Insurance - Property & Casualty,10.900569,1.1895351,0.10762,0.17593999,0.020750001,13.882,,Mega Cap
2008-12-01 00:00:00+09:00,537.4512329101562,811.1590308935313,MS&amp;AD Insurance,Financial Services,Insurance - Property & Casualty,10.900569,1.1895351,0.10762,0.17593999,0.020750001,13.882,,Mega Cap
2009-01-01 00:00:00+09:00,458.61224365234375,692.1697083149687,MS&amp;AD Insurance,Financial Services,Insurance - Property & Casualty,10.900569,1.1895351,0.10762,0.17593999,0.020750001,13.882,,Mega Cap
2009-02-01 00:00:00+09:00,455.727783203125,687.816278646625,MS&amp;AD Insurance,Financial Services,Insurance - Property & Casualty,10.900569,1.1895351,0.10762,0.17593999,0.020750001,13.882,,Mega Cap
2009-03-01 00:00:00+09:00,437.4604187011719,660.2458931324844,MS&amp;AD Insurance,Financial Services,Insurance - Property & Casualty,10.900569,1.1895351,0.10762,0.17593999,0.020750001,13.882,,Mega Cap
2009-04-01 00:00:00+09:00,520.1922607421875,785.1105816934376,MS&amp;AD Insurance,Financial Services,Insurance - Property & Casualty,10.900569,1.1895351,0.10762,0.17593999,0.020750001,13.882,,Mega Cap
