Date,Stock Price,Market Cap (Billion USD),Company,Sector,Industry,PE_Ratio,PB_Ratio,Profit_Margin,ROE,ROA,Debt_to_Equity,Company_Age_Years,Market_Cap_Category
2010-03-01 00:00:00+03:00,5.933928966522217,22.518785333863036,Ma'aden,Basic Materials,Other Industrial Metals & Mining,62.31707,3.7372923,0.08823,0.07068,0.03864,62.42,,Large Cap
2010-04-01 00:00:00+03:00,20.200000762939453,76.65738560249414,Ma'aden,Basic Materials,Other Industrial Metals & Mining,62.31707,3.7372923,0.08823,0.07068,0.03864,62.42,,Large Cap
2010-05-01 00:00:00+03:00,5.255765914916992,19.945210849467774,Ma'aden,Basic Materials,Other Industrial Metals & Mining,62.31707,3.7372923,0.08823,0.07068,0.03864,62.42,,Large Cap
2010-06-01 00:00:00+03:00,5.486958026885986,20.822566404224855,Ma'aden,Basic Materials,Other Industrial Metals & Mining,62.31707,3.7372923,0.08823,0.07068,0.03864,62.42,,Large Cap
2010-07-01 00:00:00+03:00,5.594847202301025,21.231997186885987,Ma'aden,Basic Materials,Other Industrial Metals & Mining,62.31707,3.7372923,0.08823,0.07068,0.03864,62.42,,Large Cap
2010-08-01 00:00:00+03:00,6.010993003845215,22.811237185448732,Ma'aden,Basic Materials,Other Industrial Metals & Mining,62.31707,3.7372923,0.08823,0.07068,0.03864,62.42,,Large Cap
2010-09-01 00:00:00+03:00,6.704568862915039,25.443302040161132,Ma'aden,Basic Materials,Other Industrial Metals & Mining,62.31707,3.7372923,0.08823,0.07068,0.03864,62.42,,Large Cap
2010-10-01 00:00:00+03:00,7.012825012207031,26.613109446503906,Ma'aden,Basic Materials,Other Industrial Metals & Mining,62.31707,3.7372923,0.08823,0.07068,0.03864,62.42,,Large Cap
2010-11-01 00:00:00+03:00,6.565854072570801,24.916890516865724,Ma'aden,Basic Materials,Other Industrial Metals & Mining,62.31707,3.7372923,0.08823,0.07068,0.03864,62.42,,Large Cap
2010-12-01 00:00:00+03:00,6.719982147216797,25.50179422003711,Ma'aden,Basic Materials,Other Industrial Metals & Mining,62.31707,3.7372923,0.08823,0.07068,0.03864,62.42,,Large Cap
2011-01-01 00:00:00+03:00,6.827871799468994,25.91122681225708,Ma'aden,Basic Materials,Other Industrial Metals & Mining,62.31707,3.7372923,0.08823,0.07068,0.03864,62.42,,Large Cap
2011-02-01 00:00:00+03:00,6.781632900238037,25.735753891746825,Ma'aden,Basic Materials,Other Industrial Metals & Mining,62.31707,3.7372923,0.08823,0.07068,0.03864,62.42,,Large Cap
2011-03-01 00:00:00+03:00,7.583098888397217,28.77725314823804,Ma'aden,Basic Materials,Other Industrial Metals & Mining,62.31707,3.7372923,0.08823,0.07068,0.03864,62.42,,Large Cap
2011-04-01 00:00:00+03:00,8.507866859436035,32.286673557707516,Ma'aden,Basic Materials,Other Industrial Metals & Mining,62.31707,3.7372923,0.08823,0.07068,0.03864,62.42,,Large Cap
2011-05-01 00:00:00+03:00,8.507866859436035,32.286673557707516,Ma'aden,Basic Materials,Other Industrial Metals & Mining,62.31707,3.7372923,0.08823,0.07068,0.03864,62.42,,Large Cap
2011-06-01 00:00:00+03:00,8.384565353393555,31.818754214288084,Ma'aden,Basic Materials,Other Industrial Metals & Mining,62.31707,3.7372923,0.08823,0.07068,0.03864,62.42,,Large Cap
2011-07-01 00:00:00+03:00,8.076309204101562,30.64894680794531,Ma'aden,Basic Materials,Other Industrial Metals & Mining,62.31707,3.7372923,0.08823,0.07068,0.03864,62.42,,Large Cap
2011-08-01 00:00:00+03:00,8.16878604888916,30.999889029848145,Ma'aden,Basic Materials,Other Industrial Metals & Mining,62.31707,3.7372923,0.08823,0.07068,0.03864,62.42,,Large Cap
2011-09-01 00:00:00+03:00,25.600000381469727,97.14995180924707,Ma'aden,Basic Materials,Other Industrial Metals & Mining,62.31707,3.7372923,0.08823,0.07068,0.03864,62.42,,Large Cap
