Date,Stock Price,Market Cap (Billion USD),Company,Sector,Industry,PE_Ratio,PB_Ratio,Profit_Margin,ROE,ROA,Debt_to_Equity,Company_Age_Years,Market_Cap_Category
2000-01-01 00:00:00-05:00,0.046875,0.045616827,Monster Beverage,Consumer Defensive,Beverages - Non-Alcoholic,40.34899,9.818716,0.2014,0.21274,0.14774999,7.295,,Large Cap
2000-02-01 00:00:00-05:00,0.04362000152468681,0.04244919601688266,Monster Beverage,Consumer Defensive,Beverages - Non-Alcoholic,40.34899,9.818716,0.2014,0.21274,0.14774999,7.295,,Large Cap
2000-03-01 00:00:00-05:00,0.046875,0.045616827,Monster Beverage,Consumer Defensive,Beverages - Non-Alcoholic,40.34899,9.818716,0.2014,0.21274,0.14774999,7.295,,Large Cap
2000-04-01 00:00:00-05:00,0.0465489998459816,0.04529957702393961,Monster Beverage,Consumer Defensive,Beverages - Non-Alcoholic,40.34899,9.818716,0.2014,0.21274,0.14774999,7.295,,Large Cap
2000-05-01 00:00:00-04:00,0.04492200165987015,0.04371624913518953,Monster Beverage,Consumer Defensive,Beverages - Non-Alcoholic,40.34899,9.818716,0.2014,0.21274,0.14774999,7.295,,Large Cap
2000-06-01 00:00:00-04:00,0.04296899959445,0.04181566764507937,Monster Beverage,Consumer Defensive,Beverages - Non-Alcoholic,40.34899,9.818716,0.2014,0.21274,0.14774999,7.295,,Large Cap
2000-07-01 00:00:00-04:00,0.046875,0.045616827,Monster Beverage,Consumer Defensive,Beverages - Non-Alcoholic,40.34899,9.818716,0.2014,0.21274,0.14774999,7.295,,Large Cap
2000-08-01 00:00:00-04:00,0.05338500067591667,0.051952092591534375,Monster Beverage,Consumer Defensive,Beverages - Non-Alcoholic,40.34899,9.818716,0.2014,0.21274,0.14774999,7.295,,Large Cap
2000-09-01 00:00:00-04:00,0.056641001254320145,0.05512069878026891,Monster Beverage,Consumer Defensive,Beverages - Non-Alcoholic,40.34899,9.818716,0.2014,0.21274,0.14774999,7.295,,Large Cap
2000-10-01 00:00:00-04:00,0.05598999932408333,0.054487170408465624,Monster Beverage,Consumer Defensive,Beverages - Non-Alcoholic,40.34899,9.818716,0.2014,0.21274,0.14774999,7.295,,Large Cap
2000-11-01 00:00:00-05:00,0.03776000067591667,0.036746483591534373,Monster Beverage,Consumer Defensive,Beverages - Non-Alcoholic,40.34899,9.818716,0.2014,0.21274,0.14774999,7.295,,Large Cap
2000-12-01 00:00:00-05:00,0.04036499932408333,0.03928156140846562,Monster Beverage,Consumer Defensive,Beverages - Non-Alcoholic,40.34899,9.818716,0.2014,0.21274,0.14774999,7.295,,Large Cap
2001-01-01 00:00:00-05:00,0.04231800138950348,0.04118214289857578,Monster Beverage,Consumer Defensive,Beverages - Non-Alcoholic,40.34899,9.818716,0.2014,0.21274,0.14774999,7.295,,Large Cap
2001-02-01 00:00:00-05:00,0.037108998745679855,0.03611295521973109,Monster Beverage,Consumer Defensive,Beverages - Non-Alcoholic,40.34899,9.818716,0.2014,0.21274,0.14774999,7.295,,Large Cap
