Date,Stock Price,Market Cap (Billion USD),Company
2000-01-01 00:00:00-05:00,2.9369962215423584,1.1489999138069154,National Bank of Canada
2000-02-01 00:00:00-05:00,3.324106216430664,1.3004435375671386,National Bank of Canada
2000-03-01 00:00:00-05:00,3.5765693187713623,1.3992111426124574,National Bank of Canada
2000-04-01 00:00:00-05:00,3.5651907920837402,1.3947596809158325,National Bank of Canada
2000-05-01 00:00:00-04:00,3.770876407623291,1.4752271846847533,National Bank of Canada
2000-06-01 00:00:00-04:00,3.7880170345306396,1.4819328721809388,National Bank of Canada
2000-07-01 00:00:00-04:00,3.745093822479248,1.4651406248550416,National Bank of Canada
2000-08-01 00:00:00-04:00,4.067348003387451,1.591211616493225,National Bank of Canada
2000-09-01 00:00:00-04:00,4.145732402801514,1.621876847694397,National Bank of Canada
2000-10-01 00:00:00-04:00,4.4161200523376465,1.7276568223953248,National Bank of Canada
2000-11-01 00:00:00-05:00,4.1594719886779785,1.627251993522644,National Bank of Canada
2000-12-01 00:00:00-05:00,4.708167552947998,1.841910477394104,National Bank of Canada
2001-01-01 00:00:00-05:00,5.208072662353516,2.037481354675293,National Bank of Canada
2001-02-01 00:00:00-05:00,5.315825462341309,2.0796359740753174,National Bank of Canada
2001-03-01 00:00:00-05:00,4.996156692504883,1.9545764366149903,National Bank of Canada
2001-04-01 00:00:00-05:00,4.817272186279297,1.8845939556274414,National Bank of Canada
2001-05-01 00:00:00-04:00,5.094106674194336,1.9928960366516113,National Bank of Canada
2001-06-01 00:00:00-04:00,5.281696319580078,2.06628410736084,National Bank of Canada
2001-07-01 00:00:00-04:00,5.537850856781006,2.166495860786438,National Bank of Canada
2001-08-01 00:00:00-04:00,5.4510016441345215,2.132519059211731,National Bank of Canada
2001-09-01 00:00:00-04:00,5.1738362312316895,2.024087515037537,National Bank of Canada
2001-10-01 00:00:00-04:00,4.555771827697754,1.7822908313446044,National Bank of Canada
2001-11-01 00:00:00-05:00,5.164458274841309,2.0204187084503173,National Bank of Canada
2001-12-01 00:00:00-05:00,5.579644680023193,2.182846273139954,National Bank of Canada
2002-01-01 00:00:00-05:00,5.717824935913086,2.236904600128174,National Bank of Canada
2002-02-01 00:00:00-05:00,5.754040241241455,2.251072607017517,National Bank of Canada
2002-03-01 00:00:00-05:00,6.1847825050354,2.4195858724899293,National Bank of Canada
2002-04-01 00:00:00-05:00,6.459953784942627,2.5272372799301146,National Bank of Canada
2002-05-01 00:00:00-04:00,6.363246440887451,2.489403819618225,National Bank of Canada
2002-06-01 00:00:00-04:00,5.860373497009277,2.2926718780059816,National Bank of Canada
2002-07-01 00:00:00-04:00,6.209863662719727,2.4293980226745604,National Bank of Canada
2002-08-01 00:00:00-04:00,5.785390853881836,2.2633374682922365,National Bank of Canada
2002-09-01 00:00:00-04:00,5.787355899810791,2.2641062257003783,National Bank of Canada
2002-10-01 00:00:00-04:00,5.88009786605835,2.3003883667678835,National Bank of Canada
2002-11-01 00:00:00-05:00,6.204216003417969,2.427188567993164,National Bank of Canada
2002-12-01 00:00:00-05:00,6.462306499481201,2.5281576995010377,National Bank of Canada
2003-01-01 00:00:00-05:00,6.457494258880615,2.5262750739822386,National Bank of Canada
2003-02-01 00:00:00-05:00,6.60795259475708,2.585136782310486,National Bank of Canada
2003-03-01 00:00:00-05:00,6.5815205574035645,2.574796146385193,National Bank of Canada
2003-04-01 00:00:00-05:00,7.210055351257324,2.820689014297485,National Bank of Canada
2003-05-01 00:00:00-04:00,7.179067611694336,2.8085661147766112,National Bank of Canada
2003-06-01 00:00:00-04:00,7.610843181610107,2.9774836261367796,National Bank of Canada
2003-07-01 00:00:00-04:00,7.4229512214660645,2.903977285057068,National Bank of Canada
