Date,Stock Price,Market Cap (Billion USD),Company,Sector,Industry,PE_Ratio,PB_Ratio,Profit_Margin,ROE,ROA,Debt_to_Equity,Company_Age_Years,Market_Cap_Category
2000-01-01 00:00:00-05:00,12.519523620605469,24.727186508758788,Novartis,Healthcare,Drug Manufacturers - General,19.3339,5.8211937,0.24160999,0.32887,0.11331,81.322,,Mega Cap
2000-02-01 00:00:00-05:00,13.000067710876465,25.676304359078248,Novartis,Healthcare,Drug Manufacturers - General,19.3339,5.8211937,0.24160999,0.32887,0.11331,81.322,,Mega Cap
2000-03-01 00:00:00-05:00,13.834704399108887,27.324786975701784,Novartis,Healthcare,Drug Manufacturers - General,19.3339,5.8211937,0.24160999,0.32887,0.11331,81.322,,Mega Cap
2000-04-01 00:00:00-05:00,14.188791275024414,28.02414044044995,Novartis,Healthcare,Drug Manufacturers - General,19.3339,5.8211937,0.24160999,0.32887,0.11331,81.322,,Mega Cap
2000-05-01 00:00:00-04:00,14.922258377075195,29.47280401424585,Novartis,Healthcare,Drug Manufacturers - General,19.3339,5.8211937,0.24160999,0.32887,0.11331,81.322,,Mega Cap
2000-06-01 00:00:00-04:00,16.18685531616211,31.970496843367677,Novartis,Healthcare,Drug Manufacturers - General,19.3339,5.8211937,0.24160999,0.32887,0.11331,81.322,,Mega Cap
2000-07-01 00:00:00-04:00,15.605141639709473,30.821559950220582,Novartis,Healthcare,Drug Manufacturers - General,19.3339,5.8211937,0.24160999,0.32887,0.11331,81.322,,Mega Cap
2000-08-01 00:00:00-04:00,15.301641464233398,30.222119774071533,Novartis,Healthcare,Drug Manufacturers - General,19.3339,5.8211937,0.24160999,0.32887,0.11331,81.322,,Mega Cap
2000-09-01 00:00:00-04:00,15.65572738647461,30.92147135522705,Novartis,Healthcare,Drug Manufacturers - General,19.3339,5.8211937,0.24160999,0.32887,0.11331,81.322,,Mega Cap
2000-10-01 00:00:00-04:00,15.529261589050293,30.6716900173219,Novartis,Healthcare,Drug Manufacturers - General,19.3339,5.8211937,0.24160999,0.32887,0.11331,81.322,,Mega Cap
2000-11-01 00:00:00-05:00,16.41448211669922,32.4200802717666,Novartis,Healthcare,Drug Manufacturers - General,19.3339,5.8211937,0.24160999,0.32887,0.11331,81.322,,Mega Cap
2000-12-01 00:00:00-05:00,18.610597610473633,36.757606127779056,Novartis,Healthcare,Drug Manufacturers - General,19.3339,5.8211937,0.24160999,0.32887,0.11331,81.322,,Mega Cap
2001-01-01 00:00:00-05:00,17.812114715576172,35.18053050856885,Novartis,Healthcare,Drug Manufacturers - General,19.3339,5.8211937,0.24160999,0.32887,0.11331,81.322,,Mega Cap
2001-02-01 00:00:00-05:00,17.745573043823242,35.04910471491235,Novartis,Healthcare,Drug Manufacturers - General,19.3339,5.8211937,0.24160999,0.32887,0.11331,81.322,,Mega Cap
2001-03-01 00:00:00-05:00,16.356538772583008,32.305636949454836,Novartis,Healthcare,Drug Manufacturers - General,19.3339,5.8211937,0.24160999,0.32887,0.11331,81.322,,Mega Cap
2001-04-01 00:00:00-05:00,16.498779296875,32.58657479340625,Novartis,Healthcare,Drug Manufacturers - General,19.3339,5.8211937,0.24160999,0.32887,0.11331,81.322,,Mega Cap
2001-05-01 00:00:00-04:00,16.174278259277344,31.945656023481444,Novartis,Healthcare,Drug Manufacturers - General,19.3339,5.8211937,0.24160999,0.32887,0.11331,81.322,,Mega Cap
2001-06-01 00:00:00-04:00,15.234501838684082,30.089512967822632,Novartis,Healthcare,Drug Manufacturers - General,19.3339,5.8211937,0.24160999,0.32887,0.11331,81.322,,Mega Cap
2001-07-01 00:00:00-04:00,14.758292198181152,29.14895604610364,Novartis,Healthcare,Drug Manufacturers - General,19.3339,5.8211937,0.24160999,0.32887,0.11331,81.322,,Mega Cap
2001-08-01 00:00:00-04:00,15.369361877441406,30.35587368824512,Novartis,Healthcare,Drug Manufacturers - General,19.3339,5.8211937,0.24160999,0.32887,0.11331,81.322,,Mega Cap
2001-09-01 00:00:00-04:00,16.401845932006836,32.395122669135986,Novartis,Healthcare,Drug Manufacturers - General,19.3339,5.8211937,0.24160999,0.32887,0.11331,81.322,,Mega Cap
2001-10-01 00:00:00-04:00,15.858213424682617,31.321399514150635,Novartis,Healthcare,Drug Manufacturers - General,19.3339,5.8211937,0.24160999,0.32887,0.11331,81.322,,Mega Cap
2001-11-01 00:00:00-05:00,15.070151329040527,29.764905911841918,Novartis,Healthcare,Drug Manufacturers - General,19.3339,5.8211937,0.24160999,0.32887,0.11331,81.322,,Mega Cap
