Date,Stock Price,Market Cap (Billion USD),Company,Sector,Industry,PE_Ratio,PB_Ratio,Profit_Margin,ROE,ROA,Debt_to_Equity,Company_Age_Years,Market_Cap_Category
2000-01-01 00:00:00-05:00,6.5625,0.37415109375,O'Reilly Automotive,Consumer Cyclical,Auto Parts,34.635338,-59.54224,0.14096,,0.13728,,,Large Cap
2000-02-01 00:00:00-05:00,7.0,0.3990945,O'Reilly Automotive,Consumer Cyclical,Auto Parts,34.635338,-59.54224,0.14096,,0.13728,,,Large Cap
2000-03-01 00:00:00-05:00,7.09375,0.404439515625,O'Reilly Automotive,Consumer Cyclical,Auto Parts,34.635338,-59.54224,0.14096,,0.13728,,,Large Cap
2000-04-01 00:00:00-05:00,6.75,0.384841125,O'Reilly Automotive,Consumer Cyclical,Auto Parts,34.635338,-59.54224,0.14096,,0.13728,,,Large Cap
2000-05-01 00:00:00-04:00,6.8125,0.38840446875,O'Reilly Automotive,Consumer Cyclical,Auto Parts,34.635338,-59.54224,0.14096,,0.13728,,,Large Cap
2000-06-01 00:00:00-04:00,6.9375,0.39553115625,O'Reilly Automotive,Consumer Cyclical,Auto Parts,34.635338,-59.54224,0.14096,,0.13728,,,Large Cap
2000-07-01 00:00:00-04:00,7.21875,0.411566203125,O'Reilly Automotive,Consumer Cyclical,Auto Parts,34.635338,-59.54224,0.14096,,0.13728,,,Large Cap
2000-08-01 00:00:00-04:00,7.625,0.4347279375,O'Reilly Automotive,Consumer Cyclical,Auto Parts,34.635338,-59.54224,0.14096,,0.13728,,,Large Cap
2000-09-01 00:00:00-04:00,7.3125,0.41691121875,O'Reilly Automotive,Consumer Cyclical,Auto Parts,34.635338,-59.54224,0.14096,,0.13728,,,Large Cap
2000-10-01 00:00:00-04:00,9.0,0.5131215,O'Reilly Automotive,Consumer Cyclical,Auto Parts,34.635338,-59.54224,0.14096,,0.13728,,,Large Cap
2000-11-01 00:00:00-05:00,8.3125,0.47392471875,O'Reilly Automotive,Consumer Cyclical,Auto Parts,34.635338,-59.54224,0.14096,,0.13728,,,Large Cap
2000-12-01 00:00:00-05:00,13.375,0.7625555625,O'Reilly Automotive,Consumer Cyclical,Auto Parts,34.635338,-59.54224,0.14096,,0.13728,,,Large Cap
2001-01-01 00:00:00-05:00,11.25,0.641401875,O'Reilly Automotive,Consumer Cyclical,Auto Parts,34.635338,-59.54224,0.14096,,0.13728,,,Large Cap
2001-02-01 00:00:00-05:00,9.46875,0.539846578125,O'Reilly Automotive,Consumer Cyclical,Auto Parts,34.635338,-59.54224,0.14096,,0.13728,,,Large Cap
2001-03-01 00:00:00-05:00,9.96875,0.568353328125,O'Reilly Automotive,Consumer Cyclical,Auto Parts,34.635338,-59.54224,0.14096,,0.13728,,,Large Cap
2001-04-01 00:00:00-05:00,11.824999809265137,0.6741846266255379,O'Reilly Automotive,Consumer Cyclical,Auto Parts,34.635338,-59.54224,0.14096,,0.13728,,,Large Cap
2001-05-01 00:00:00-04:00,12.604999542236328,0.7186551414012909,O'Reilly Automotive,Consumer Cyclical,Auto Parts,34.635338,-59.54224,0.14096,,0.13728,,,Large Cap
2001-06-01 00:00:00-04:00,14.350000381469727,0.8181437467489242,O'Reilly Automotive,Consumer Cyclical,Auto Parts,34.635338,-59.54224,0.14096,,0.13728,,,Large Cap
2001-07-01 00:00:00-04:00,17.450000762939453,0.9948856184978485,O'Reilly Automotive,Consumer Cyclical,Auto Parts,34.635338,-59.54224,0.14096,,0.13728,,,Large Cap
2001-08-01 00:00:00-04:00,15.600000381469727,0.8894106217489243,O'Reilly Automotive,Consumer Cyclical,Auto Parts,34.635338,-59.54224,0.14096,,0.13728,,,Large Cap
2001-09-01 00:00:00-04:00,14.324999809265137,0.8167183766255379,O'Reilly Automotive,Consumer Cyclical,Auto Parts,34.635338,-59.54224,0.14096,,0.13728,,,Large Cap
2001-10-01 00:00:00-04:00,14.130000114440918,0.8056007615246773,O'Reilly Automotive,Consumer Cyclical,Auto Parts,34.635338,-59.54224,0.14096,,0.13728,,,Large Cap
2001-11-01 00:00:00-05:00,16.719999313354492,0.9532656808519363,O'Reilly Automotive,Consumer Cyclical,Auto Parts,34.635338,-59.54224,0.14096,,0.13728,,,Large Cap
2001-12-01 00:00:00-05:00,18.235000610351562,1.0396412072982788,O'Reilly Automotive,Consumer Cyclical,Auto Parts,34.635338,-59.54224,0.14096,,0.13728,,,Large Cap
2002-01-01 00:00:00-05:00,16.545000076293945,0.9432883618497848,O'Reilly Automotive,Consumer Cyclical,Auto Parts,34.635338,-59.54224,0.14096,,0.13728,,,Large Cap
2002-02-01 00:00:00-05:00,16.524999618530273,0.9421480657510758,O'Reilly Automotive,Consumer Cyclical,Auto Parts,34.635338,-59.54224,0.14096,,0.13728,,,Large Cap
2002-03-01 00:00:00-05:00,15.78499984741211,0.8999580888004303,O'Reilly Automotive,Consumer Cyclical,Auto Parts,34.635338,-59.54224,0.14096,,0.13728,,,Large Cap
2002-04-01 00:00:00-05:00,16.19499969482422,0.9233336151008606,O'Reilly Automotive,Consumer Cyclical,Auto Parts,34.635338,-59.54224,0.14096,,0.13728,,,Large Cap
2002-05-01 00:00:00-04:00,16.079999923706055,0.9167770756502152,O'Reilly Automotive,Consumer Cyclical,Auto Parts,34.635338,-59.54224,0.14096,,0.13728,,,Large Cap
2002-06-01 00:00:00-04:00,13.779999732971191,0.785646014775753,O'Reilly Automotive,Consumer Cyclical,Auto Parts,34.635338,-59.54224,0.14096,,0.13728,,,Large Cap
2002-07-01 00:00:00-04:00,14.09000015258789,0.8033202236995697,O'Reilly Automotive,Consumer Cyclical,Auto Parts,34.635338,-59.54224,0.14096,,0.13728,,,Large Cap
2002-08-01 00:00:00-04:00,14.890000343322754,0.8489310345740319,O'Reilly Automotive,Consumer Cyclical,Auto Parts,34.635338,-59.54224,0.14096,,0.13728,,,Large Cap
2002-09-01 00:00:00-04:00,14.3100004196167,0.8158632089238167,O'Reilly Automotive,Consumer Cyclical,Auto Parts,34.635338,-59.54224,0.14096,,0.13728,,,Large Cap
2002-10-01 00:00:00-04:00,13.635000228881836,0.7773790855493545,O'Reilly Automotive,Consumer Cyclical,Auto Parts,34.635338,-59.54224,0.14096,,0.13728,,,Large Cap
2002-11-01 00:00:00-05:00,13.880000114440918,0.7913473865246773,O'Reilly Automotive,Consumer Cyclical,Auto Parts,34.635338,-59.54224,0.14096,,0.13728,,,Large Cap
2002-12-01 00:00:00-05:00,12.645000457763672,0.7209357335987091,O'Reilly Automotive,Consumer Cyclical,Auto Parts,34.635338,-59.54224,0.14096,,0.13728,,,Large Cap
2003-01-01 00:00:00-05:00,12.21500015258789,0.6964199111995697,O'Reilly Automotive,Consumer Cyclical,Auto Parts,34.635338,-59.54224,0.14096,,0.13728,,,Large Cap
2003-02-01 00:00:00-05:00,12.765000343322754,0.7277773470740319,O'Reilly Automotive,Consumer Cyclical,Auto Parts,34.635338,-59.54224,0.14096,,0.13728,,,Large Cap
2003-03-01 00:00:00-05:00,13.53499984741211,0.7716777138004303,O'Reilly Automotive,Consumer Cyclical,Auto Parts,34.635338,-59.54224,0.14096,,0.13728,,,Large Cap
2003-04-01 00:00:00-05:00,14.8100004196167,0.8443699589238167,O'Reilly Automotive,Consumer Cyclical,Auto Parts,34.635338,-59.54224,0.14096,,0.13728,,,Large Cap
2003-05-01 00:00:00-04:00,15.255000114440918,0.8697409490246772,O'Reilly Automotive,Consumer Cyclical,Auto Parts,34.635338,-59.54224,0.14096,,0.13728,,,Large Cap
2003-06-01 00:00:00-04:00,16.735000610351562,0.9541209572982788,O'Reilly Automotive,Consumer Cyclical,Auto Parts,34.635338,-59.54224,0.14096,,0.13728,,,Large Cap
2003-07-01 00:00:00-04:00,19.079999923706055,1.087817575650215,O'Reilly Automotive,Consumer Cyclical,Auto Parts,34.635338,-59.54224,0.14096,,0.13728,,,Large Cap
2003-08-01 00:00:00-04:00,19.174999237060547,1.0932338190021516,O'Reilly Automotive,Consumer Cyclical,Auto Parts,34.635338,-59.54224,0.14096,,0.13728,,,Large Cap
2003-09-01 00:00:00-04:00,18.399999618530273,1.0490483782510758,O'Reilly Automotive,Consumer Cyclical,Auto Parts,34.635338,-59.54224,0.14096,,0.13728,,,Large Cap
2003-10-01 00:00:00-04:00,21.729999542236328,1.238903328901291,O'Reilly Automotive,Consumer Cyclical,Auto Parts,34.635338,-59.54224,0.14096,,0.13728,,,Large Cap
2003-11-01 00:00:00-05:00,21.760000228881836,1.2406137730493545,O'Reilly Automotive,Consumer Cyclical,Auto Parts,34.635338,-59.54224,0.14096,,0.13728,,,Large Cap
2003-12-01 00:00:00-05:00,19.280000686645508,1.0992203191480636,O'Reilly Automotive,Consumer Cyclical,Auto Parts,34.635338,-59.54224,0.14096,,0.13728,,,Large Cap
2004-01-01 00:00:00-05:00,19.235000610351562,1.0966547072982789,O'Reilly Automotive,Consumer Cyclical,Auto Parts,34.635338,-59.54224,0.14096,,0.13728,,,Large Cap
2004-02-01 00:00:00-05:00,20.315000534057617,1.158229282948494,O'Reilly Automotive,Consumer Cyclical,Auto Parts,34.635338,-59.54224,0.14096,,0.13728,,,Large Cap
2004-03-01 00:00:00-05:00,20.020000457763672,1.1414102960987091,O'Reilly Automotive,Consumer Cyclical,Auto Parts,34.635338,-59.54224,0.14096,,0.13728,,,Large Cap
2004-04-01 00:00:00-05:00,22.450000762939453,1.2799531184978485,O'Reilly Automotive,Consumer Cyclical,Auto Parts,34.635338,-59.54224,0.14096,,0.13728,,,Large Cap
2004-05-01 00:00:00-04:00,22.459999084472656,1.2805231578025817,O'Reilly Automotive,Consumer Cyclical,Auto Parts,34.635338,-59.54224,0.14096,,0.13728,,,Large Cap
