Date,Stock Price,Market Cap (Billion USD),Company
2019-12-01 00:00:00+08:00,4.403429985046387,349.21357729839065,Postal Savings Bank of China
2020-01-01 00:00:00+08:00,4.26065731048584,337.8910045328281,Postal Savings Bank of China
2020-02-01 00:00:00+08:00,4.132913112640381,327.7602636194453,Postal Savings Bank of China
2020-03-01 00:00:00+08:00,3.9600822925567627,314.05393261071487,Postal Savings Bank of China
2020-04-01 00:00:00+08:00,3.9225099086761475,311.074258441457,Postal Savings Bank of China
2020-05-01 00:00:00+08:00,3.8173084259033203,302.73126530634374,Postal Savings Bank of China
2020-06-01 00:00:00+08:00,3.434074640274048,272.3389480273867,Postal Savings Bank of China
2020-07-01 00:00:00+08:00,3.632967948913574,288.1121621006406,Postal Savings Bank of China
2020-08-01 00:00:00+08:00,3.6173088550567627,286.8703192187148,Postal Savings Bank of China
2020-09-01 00:00:00+08:00,3.5311830043792725,280.040117190957,Postal Savings Bank of China
2020-10-01 00:00:00+08:00,3.601649522781372,285.6284574290273,Postal Savings Bank of China
2020-11-01 00:00:00+08:00,4.094918727874756,324.74712271194534,Postal Savings Bank of China
2020-12-01 00:00:00+08:00,3.742583990097046,296.80525135173826,Postal Savings Bank of China
2021-01-01 00:00:00+08:00,4.290661334991455,340.27047071408595,Postal Savings Bank of China
2021-02-01 00:00:00+08:00,4.791759967803955,380.01004798408593,Postal Savings Bank of China
2021-03-01 00:00:00+08:00,4.596018314361572,364.4867756129922,Postal Savings Bank of China
2021-04-01 00:00:00+08:00,3.985304117202759,316.054146907418,Postal Savings Bank of China
2021-05-01 00:00:00+08:00,4.384616851806641,347.7216036366875,Postal Savings Bank of China
2021-06-01 00:00:00+08:00,3.9304959774017334,311.70759282798826,Postal Savings Bank of China
2021-07-01 00:00:00+08:00,3.672116756439209,291.2168543903828,Postal Savings Bank of China
2021-08-01 00:00:00+08:00,4.200677871704102,333.13434110171875,Postal Savings Bank of China
2021-09-01 00:00:00+08:00,4.151642322540283,329.2455817490234,Postal Savings Bank of China
2021-10-01 00:00:00+08:00,4.4213361740112305,350.6336258345156,Postal Savings Bank of China
2021-11-01 00:00:00+08:00,4.151642322540283,329.2455817490234,Postal Savings Bank of China
2021-12-01 00:00:00+08:00,4.167987823486328,330.5418600769375,Postal Savings Bank of China
2022-01-01 00:00:00+08:00,4.592958927154541,364.2441512146172,Postal Savings Bank of China
2022-02-01 00:00:00+08:00,4.560268402099609,361.6516323743125,Postal Savings Bank of China
2022-03-01 00:00:00+08:00,4.4049906730651855,349.3373475066016,Postal Savings Bank of China
2022-04-01 00:00:00+08:00,4.4213361740112305,350.6336258345156,Postal Savings Bank of China
2022-05-01 00:00:00+08:00,4.290575981140137,340.2637017353906,Postal Savings Bank of China
2022-06-01 00:00:00+08:00,4.4049906730651855,349.3373475066016,Postal Savings Bank of China
2022-07-01 00:00:00+08:00,3.832914113998413,303.9688728496445,Postal Savings Bank of China
2022-08-01 00:00:00+08:00,3.866642475128174,306.64369717671093,Postal Savings Bank of China
2022-09-01 00:00:00+08:00,3.8237743377685547,303.24404380415626,Postal Savings Bank of China
