Date,Stock Price,Market Cap (Billion USD),Company,Sector,Industry,PE_Ratio,PB_Ratio,Profit_Margin,ROE,ROA,Debt_to_Equity,Company_Age_Years,Market_Cap_Category
2017-10-01 00:00:00+05:30,650.9423828125,652.335420341875,SBI Life Insurance,Financial Services,Insurance - Life,73.54436,10.415364,0.020639999,0.15133001,0.00392,,,Mega Cap
2017-11-01 00:00:00+05:30,643.8638305664062,645.241719767461,SBI Life Insurance,Financial Services,Insurance - Life,73.54436,10.415364,0.020639999,0.15133001,0.00392,,,Mega Cap
2017-12-01 00:00:00+05:30,683.632080078125,685.0950746057188,SBI Life Insurance,Financial Services,Insurance - Life,73.54436,10.415364,0.020639999,0.15133001,0.00392,,,Mega Cap
2018-01-01 00:00:00+05:30,649.5169067382812,650.9068937032422,SBI Life Insurance,Financial Services,Insurance - Life,73.54436,10.415364,0.020639999,0.15133001,0.00392,,,Mega Cap
2018-02-01 00:00:00+05:30,682.7964477539062,684.2576540015859,SBI Life Insurance,Financial Services,Insurance - Life,73.54436,10.415364,0.020639999,0.15133001,0.00392,,,Mega Cap
2018-03-01 00:00:00+05:30,666.8202514648438,668.2472681412265,SBI Life Insurance,Financial Services,Insurance - Life,73.54436,10.415364,0.020639999,0.15133001,0.00392,,,Mega Cap
2018-04-01 00:00:00+05:30,730.577392578125,732.1408515767188,SBI Life Insurance,Financial Services,Insurance - Life,73.54436,10.415364,0.020639999,0.15133001,0.00392,,,Mega Cap
2018-05-01 00:00:00+05:30,680.1647338867188,681.6203081825078,SBI Life Insurance,Financial Services,Insurance - Life,73.54436,10.415364,0.020639999,0.15133001,0.00392,,,Mega Cap
2018-06-01 00:00:00+05:30,664.9304809570312,666.3534534640547,SBI Life Insurance,Financial Services,Insurance - Life,73.54436,10.415364,0.020639999,0.15133001,0.00392,,,Mega Cap
2018-07-01 00:00:00+05:30,676.4177856445312,677.8653413511797,SBI Life Insurance,Financial Services,Insurance - Life,73.54436,10.415364,0.020639999,0.15133001,0.00392,,,Mega Cap
2018-08-01 00:00:00+05:30,663.0077514648438,664.4266092692266,SBI Life Insurance,Financial Services,Insurance - Life,73.54436,10.415364,0.020639999,0.15133001,0.00392,,,Mega Cap
2018-09-01 00:00:00+05:30,504.453857421875,505.53340481928126,SBI Life Insurance,Financial Services,Insurance - Life,73.54436,10.415364,0.020639999,0.15133001,0.00392,,,Mega Cap
2018-10-01 00:00:00+05:30,552.5722045898438,553.7547267899765,SBI Life Insurance,Financial Services,Insurance - Life,73.54436,10.415364,0.020639999,0.15133001,0.00392,,,Mega Cap
2018-11-01 00:00:00+05:30,563.4185791015625,564.6243128902344,SBI Life Insurance,Financial Services,Insurance - Life,73.54436,10.415364,0.020639999,0.15133001,0.00392,,,Mega Cap
2018-12-01 00:00:00+05:30,589.4989624023438,590.7605090458516,SBI Life Insurance,Financial Services,Insurance - Life,73.54436,10.415364,0.020639999,0.15133001,0.00392,,,Mega Cap
2019-01-01 00:00:00+05:30,586.6889038085938,587.944436836789,SBI Life Insurance,Financial Services,Insurance - Life,73.54436,10.415364,0.020639999,0.15133001,0.00392,,,Mega Cap
2019-02-01 00:00:00+05:30,570.4686889648438,571.6895102142265,SBI Life Insurance,Financial Services,Insurance - Life,73.54436,10.415364,0.020639999,0.15133001,0.00392,,,Mega Cap
2019-03-01 00:00:00+05:30,575.2510375976562,576.4820932261484,SBI Life Insurance,Financial Services,Insurance - Life,73.54436,10.415364,0.020639999,0.15133001,0.00392,,,Mega Cap
2019-04-01 00:00:00+05:30,630.912353515625,632.2625261413438,SBI Life Insurance,Financial Services,Insurance - Life,73.54436,10.415364,0.020639999,0.15133001,0.00392,,,Mega Cap
2019-05-01 00:00:00+05:30,686.837646484375,688.3075010266563,SBI Life Insurance,Financial Services,Insurance - Life,73.54436,10.415364,0.020639999,0.15133001,0.00392,,,Mega Cap
2019-06-01 00:00:00+05:30,715.97314453125,717.5053499716875,SBI Life Insurance,Financial Services,Insurance - Life,73.54436,10.415364,0.020639999,0.15133001,0.00392,,,Mega Cap
2019-07-01 00:00:00+05:30,789.03466796875,790.7232274073125,SBI Life Insurance,Financial Services,Insurance - Life,73.54436,10.415364,0.020639999,0.15133001,0.00392,,,Mega Cap
2019-08-01 00:00:00+05:30,829.745361328125,831.5210429532187,SBI Life Insurance,Financial Services,Insurance - Life,73.54436,10.415364,0.020639999,0.15133001,0.00392,,,Mega Cap
2019-09-01 00:00:00+05:30,837.3631591796875,839.1551431359532,SBI Life Insurance,Financial Services,Insurance - Life,73.54436,10.415364,0.020639999,0.15133001,0.00392,,,Mega Cap
2019-10-01 00:00:00+05:30,980.9139404296875,983.0131276514531,SBI Life Insurance,Financial Services,Insurance - Life,73.54436,10.415364,0.020639999,0.15133001,0.00392,,,Mega Cap
2019-11-01 00:00:00+05:30,949.7996826171875,951.8322843315781,SBI Life Insurance,Financial Services,Insurance - Life,73.54436,10.415364,0.020639999,0.15133001,0.00392,,,Mega Cap
2019-12-01 00:00:00+05:30,951.3331298828125,953.3690132234219,SBI Life Insurance,Financial Services,Insurance - Life,73.54436,10.415364,0.020639999,0.15133001,0.00392,,,Mega Cap
2020-01-01 00:00:00+05:30,983.4861450195312,985.5908368414297,SBI Life Insurance,Financial Services,Insurance - Life,73.54436,10.415364,0.020639999,0.15133001,0.00392,,,Mega Cap
2020-02-01 00:00:00+05:30,880.8933715820312,882.7785115858047,SBI Life Insurance,Financial Services,Insurance - Life,73.54436,10.415364,0.020639999,0.15133001,0.00392,,,Mega Cap
2020-03-01 00:00:00+05:30,634.1561889648438,635.5133035022266,SBI Life Insurance,Financial Services,Insurance - Life,73.54436,10.415364,0.020639999,0.15133001,0.00392,,,Mega Cap
2020-04-01 00:00:00+05:30,719.0895385742188,720.6284131976328,SBI Life Insurance,Financial Services,Insurance - Life,73.54436,10.415364,0.020639999,0.15133001,0.00392,,,Mega Cap
2020-05-01 00:00:00+05:30,760.4432983398438,762.0706713324765,SBI Life Insurance,Financial Services,Insurance - Life,73.54436,10.415364,0.020639999,0.15133001,0.00392,,,Mega Cap
