Date,Stock Price,Market Cap (Billion USD),Company,Sector,Industry,PE_Ratio,PB_Ratio,Profit_Margin,ROE,ROA,Debt_to_Equity,Company_Age_Years,Market_Cap_Category
2018-11-01 00:00:00+08:00,5.568205833435059,197.65905525228516,The People's Insurance Company (PICC),Financial Services,Insurance - Property & Casualty,7.7582417,1.1176192,0.07728,0.17302,0.02938,43.512,,Mega Cap
2018-12-01 00:00:00+08:00,4.644488334655762,164.86911651970703,The People's Insurance Company (PICC),Financial Services,Insurance - Property & Casualty,7.7582417,1.1176192,0.07728,0.17302,0.02938,43.512,,Mega Cap
2019-01-01 00:00:00+08:00,4.989802837371826,177.12702156372072,The People's Insurance Company (PICC),Financial Services,Insurance - Property & Casualty,7.7582417,1.1176192,0.07728,0.17302,0.02938,43.512,,Mega Cap
2019-02-01 00:00:00+08:00,6.87177038192749,243.93272846461915,The People's Insurance Company (PICC),Financial Services,Insurance - Property & Casualty,7.7582417,1.1176192,0.07728,0.17302,0.02938,43.512,,Mega Cap
2019-03-01 00:00:00+08:00,8.278929710388184,293.8837884241602,The People's Insurance Company (PICC),Financial Services,Insurance - Property & Casualty,7.7582417,1.1176192,0.07728,0.17302,0.02938,43.512,,Mega Cap
2019-04-01 00:00:00+08:00,7.415641784667969,263.23896657078126,The People's Insurance Company (PICC),Financial Services,Insurance - Property & Casualty,7.7582417,1.1176192,0.07728,0.17302,0.02938,43.512,,Mega Cap
2019-05-01 00:00:00+08:00,7.82138729095459,277.6420392740039,The People's Insurance Company (PICC),Financial Services,Insurance - Property & Casualty,7.7582417,1.1176192,0.07728,0.17302,0.02938,43.512,,Mega Cap
2019-06-01 00:00:00+08:00,8.19260025024414,290.81928254148437,The People's Insurance Company (PICC),Financial Services,Insurance - Property & Casualty,7.7582417,1.1176192,0.07728,0.17302,0.02938,43.512,,Mega Cap
2019-07-01 00:00:00+08:00,7.84728479385376,278.5613436441309,The People's Insurance Company (PICC),Financial Services,Insurance - Property & Casualty,7.7582417,1.1176192,0.07728,0.17302,0.02938,43.512,,Mega Cap
2019-08-01 00:00:00+08:00,7.251615524291992,257.4163952376953,The People's Insurance Company (PICC),Financial Services,Insurance - Property & Casualty,7.7582417,1.1176192,0.07728,0.17302,0.02938,43.512,,Mega Cap
2019-09-01 00:00:00+08:00,7.463845252990723,264.95008363318357,The People's Insurance Company (PICC),Financial Services,Insurance - Property & Casualty,7.7582417,1.1176192,0.07728,0.17302,0.02938,43.512,,Mega Cap
2019-10-01 00:00:00+08:00,7.420450210571289,263.40965511027343,The People's Insurance Company (PICC),Financial Services,Insurance - Property & Casualty,7.7582417,1.1176192,0.07728,0.17302,0.02938,43.512,,Mega Cap
2019-11-01 00:00:00+08:00,5.719388484954834,203.0257067310254,The People's Insurance Company (PICC),Financial Services,Insurance - Property & Casualty,7.7582417,1.1176192,0.07728,0.17302,0.02938,43.512,,Mega Cap
2019-12-01 00:00:00+08:00,6.587276935577393,233.83383709581054,The People's Insurance Company (PICC),Financial Services,Insurance - Property & Casualty,7.7582417,1.1176192,0.07728,0.17302,0.02938,43.512,,Mega Cap
2020-01-01 00:00:00+08:00,6.30087423324585,223.66717134063475,The People's Insurance Company (PICC),Financial Services,Insurance - Property & Casualty,7.7582417,1.1176192,0.07728,0.17302,0.02938,43.512,,Mega Cap
2020-02-01 00:00:00+08:00,5.875607490539551,208.57113769748048,The People's Insurance Company (PICC),Financial Services,Insurance - Property & Casualty,7.7582417,1.1176192,0.07728,0.17302,0.02938,43.512,,Mega Cap
2020-03-01 00:00:00+08:00,5.4676995277404785,194.0913025461621,The People's Insurance Company (PICC),Financial Services,Insurance - Property & Casualty,7.7582417,1.1176192,0.07728,0.17302,0.02938,43.512,,Mega Cap
2020-04-01 00:00:00+08:00,5.511094570159912,195.63173106907226,The People's Insurance Company (PICC),Financial Services,Insurance - Property & Casualty,7.7582417,1.1176192,0.07728,0.17302,0.02938,43.512,,Mega Cap
2020-05-01 00:00:00+08:00,5.389590263366699,191.31859552626952,The People's Insurance Company (PICC),Financial Services,Insurance - Property & Casualty,7.7582417,1.1176192,0.07728,0.17302,0.02938,43.512,,Mega Cap
2020-06-01 00:00:00+08:00,5.58920431137085,198.40445501563477,The People's Insurance Company (PICC),Financial Services,Insurance - Property & Casualty,7.7582417,1.1176192,0.07728,0.17302,0.02938,43.512,,Mega Cap
2020-07-01 00:00:00+08:00,6.1967267990112305,219.97016658298827,The People's Insurance Company (PICC),Financial Services,Insurance - Property & Casualty,7.7582417,1.1176192,0.07728,0.17302,0.02938,43.512,,Mega Cap
2020-08-01 00:00:00+08:00,6.266157627105713,222.43480821030275,The People's Insurance Company (PICC),Financial Services,Insurance - Property & Casualty,7.7582417,1.1176192,0.07728,0.17302,0.02938,43.512,,Mega Cap
2020-09-01 00:00:00+08:00,5.966800212860107,211.80827868668945,The People's Insurance Company (PICC),Financial Services,Insurance - Property & Casualty,7.7582417,1.1176192,0.07728,0.17302,0.02938,43.512,,Mega Cap
2020-10-01 00:00:00+08:00,5.843410491943359,207.42821509101563,The People's Insurance Company (PICC),Financial Services,Insurance - Property & Casualty,7.7582417,1.1176192,0.07728,0.17302,0.02938,43.512,,Mega Cap
