Date,Stock Price,Market Cap (Billion USD),Company,Sector,Industry,PE_Ratio,PB_Ratio,Profit_Margin,ROE,ROA,Debt_to_Equity,Company_Age_Years,Market_Cap_Category
2000-01-01 00:00:00+05:30,6.046019077301025,5.363090944056335,Titan Company,Consumer Cyclical,Luxury Goods,92.59452,30.778547,0.05578,,,222.35,,Mega Cap
2000-02-01 00:00:00+05:30,4.492852210998535,3.985362053562378,Titan Company,Consumer Cyclical,Luxury Goods,92.59452,30.778547,0.05578,,,222.35,,Mega Cap
2000-03-01 00:00:00+05:30,3.995126962661743,3.5438573646332703,Titan Company,Consumer Cyclical,Luxury Goods,92.59452,30.778547,0.05578,,,222.35,,Mega Cap
2000-04-01 00:00:00+05:30,3.108556032180786,2.757429060697357,Titan Company,Consumer Cyclical,Luxury Goods,92.59452,30.778547,0.05578,,,222.35,,Mega Cap
2000-05-01 00:00:00+05:30,3.2863147258758545,2.9151090197240297,Titan Company,Consumer Cyclical,Luxury Goods,92.59452,30.778547,0.05578,,,222.35,,Mega Cap
2000-06-01 00:00:00+05:30,2.9507949352264404,2.6174878697115784,Titan Company,Consumer Cyclical,Luxury Goods,92.59452,30.778547,0.05578,,,222.35,,Mega Cap
2000-07-01 00:00:00+05:30,2.6197190284729004,2.3238086446539916,Titan Company,Consumer Cyclical,Luxury Goods,92.59452,30.778547,0.05578,,,222.35,,Mega Cap
2000-08-01 00:00:00+05:30,2.6708245277404785,2.3691415218429563,Titan Company,Consumer Cyclical,Luxury Goods,92.59452,30.778547,0.05578,,,222.35,,Mega Cap
2000-09-01 00:00:00+05:30,2.2664244174957275,2.010420429286102,Titan Company,Consumer Cyclical,Luxury Goods,92.59452,30.778547,0.05578,,,222.35,,Mega Cap
2000-10-01 00:00:00+05:30,2.3041975498199463,2.043926897146454,Titan Company,Consumer Cyclical,Luxury Goods,92.59452,30.778547,0.05578,,,222.35,,Mega Cap
2000-11-01 00:00:00+05:30,2.777480363845825,2.463750047127777,Titan Company,Consumer Cyclical,Luxury Goods,92.59452,30.778547,0.05578,,,222.35,,Mega Cap
2000-12-01 00:00:00+05:30,2.6997110843658447,2.394765197233612,Titan Company,Consumer Cyclical,Luxury Goods,92.59452,30.778547,0.05578,,,222.35,,Mega Cap
2001-01-01 00:00:00+05:30,3.1063337326049805,2.755457780987915,Titan Company,Consumer Cyclical,Luxury Goods,92.59452,30.778547,0.05578,,,222.35,,Mega Cap
2001-02-01 00:00:00+05:30,3.0263423919677734,2.6845018628723145,Titan Company,Consumer Cyclical,Luxury Goods,92.59452,30.778547,0.05578,,,222.35,,Mega Cap
2001-03-01 00:00:00+05:30,1.835358738899231,1.6280457778639985,Titan Company,Consumer Cyclical,Luxury Goods,92.59452,30.778547,0.05578,,,222.35,,Mega Cap
2001-04-01 00:00:00+05:30,1.835358738899231,1.6280457778639985,Titan Company,Consumer Cyclical,Luxury Goods,92.59452,30.778547,0.05578,,,222.35,,Mega Cap
2001-05-01 00:00:00+05:30,2.5775022506713867,2.2863604633267824,Titan Company,Consumer Cyclical,Luxury Goods,92.59452,30.778547,0.05578,,,222.35,,Mega Cap
2001-06-01 00:00:00+05:30,1.9020190238952637,1.687176449835022,Titan Company,Consumer Cyclical,Luxury Goods,92.59452,30.778547,0.05578,,,222.35,,Mega Cap
2001-07-01 00:00:00+05:30,1.686486005783081,1.495988965507965,Titan Company,Consumer Cyclical,Luxury Goods,92.59452,30.778547,0.05578,,,222.35,,Mega Cap
2001-08-01 00:00:00+05:30,1.493173360824585,1.324511951907257,Titan Company,Consumer Cyclical,Luxury Goods,92.59452,30.778547,0.05578,,,222.35,,Mega Cap
2001-09-01 00:00:00+05:30,1.3087488412857056,1.160919105448288,Titan Company,Consumer Cyclical,Luxury Goods,92.59452,30.778547,0.05578,,,222.35,,Mega Cap
2001-10-01 00:00:00+05:30,1.4287357330322266,1.2673528768776856,Titan Company,Consumer Cyclical,Luxury Goods,92.59452,30.778547,0.05578,,,222.35,,Mega Cap
2001-11-01 00:00:00+05:30,1.7131500244140625,1.519641149701172,Titan Company,Consumer Cyclical,Luxury Goods,92.59452,30.778547,0.05578,,,222.35,,Mega Cap
2001-12-01 00:00:00+05:30,1.6487125158309937,1.4624821804156036,Titan Company,Consumer Cyclical,Luxury Goods,92.59452,30.778547,0.05578,,,222.35,,Mega Cap
2002-01-01 00:00:00+05:30,1.5242811441421509,1.352105955311325,Titan Company,Consumer Cyclical,Luxury Goods,92.59452,30.778547,0.05578,,,222.35,,Mega Cap
2002-02-01 00:00:00+05:30,2.1086626052856445,1.8704786038363037,Titan Company,Consumer Cyclical,Luxury Goods,92.59452,30.778547,0.05578,,,222.35,,Mega Cap
2002-03-01 00:00:00+05:30,2.2908663749694824,2.0321015452578735,Titan Company,Consumer Cyclical,Luxury Goods,92.59452,30.778547,0.05578,,,222.35,,Mega Cap
2002-04-01 00:00:00+05:30,3.0263423919677734,2.6845018628723145,Titan Company,Consumer Cyclical,Luxury Goods,92.59452,30.778547,0.05578,,,222.35,,Mega Cap
2002-05-01 00:00:00+05:30,2.633051633834839,2.3356352654706116,Titan Company,Consumer Cyclical,Luxury Goods,92.59452,30.778547,0.05578,,,222.35,,Mega Cap
2002-06-01 00:00:00+05:30,3.4707393646240234,3.078701971927002,Titan Company,Consumer Cyclical,Luxury Goods,92.59452,30.778547,0.05578,,,222.35,,Mega Cap
2002-07-01 00:00:00+05:30,2.99701189994812,2.658484396813385,Titan Company,Consumer Cyclical,Luxury Goods,92.59452,30.778547,0.05578,,,222.35,,Mega Cap
2002-08-01 00:00:00+05:30,2.8805806636810303,2.555204651770294,Titan Company,Consumer Cyclical,Luxury Goods,92.59452,30.778547,0.05578,,,222.35,,Mega Cap
2002-09-01 00:00:00+05:30,2.4672915935516357,2.188598651863678,Titan Company,Consumer Cyclical,Luxury Goods,92.59452,30.778547,0.05578,,,222.35,,Mega Cap
2002-10-01 00:00:00+05:30,2.419740915298462,2.1464190608529967,Titan Company,Consumer Cyclical,Luxury Goods,92.59452,30.778547,0.05578,,,222.35,,Mega Cap
2002-11-01 00:00:00+05:30,3.3431971073150635,2.9655662513127137,Titan Company,Consumer Cyclical,Luxury Goods,92.59452,30.778547,0.05578,,,222.35,,Mega Cap
